total_raised,total_contributions,date,committee,committee_name
142421.3,821,2021-02,C00650150,ELISSA SLOTKIN FOR CONGRESS
21337.16,198,2021-04,C00606939,ROSEN FOR NEVADA
278649.2,297,2021-06,C00721449,JAKE AUCHINCLOSS FOR CONGRESS
98372.65,406,2021-03,C00508804,SINEMA FOR ARIZONA
399843.45,418,2021-03,C00476564,CICILLINE COMMITTEE
364671.4599999969,1490,2021-04,C00777904,CHERI BEASLEY FOR NORTH CAROLINA
502844.82000000007,1139,2021-03,C00373464,TIM RYAN FOR CONGRESS
504079.7299999999,3148,2021-06,C00346312,FRIENDS OF SCHUMER
171178.88000000006,510,2021-02,C00640003,MIKIE SHERRILL FOR CONGRESS
682964.9699999997,3283,2021-03,C00575548,CATHERINE CORTEZ-MASTO FOR SENATE
788361.0,709,2021-02,C00769604,LASRY FOR WISCONSIN
29068.0,80,2021-06,C00498667,MARK TAKANO FOR CONGRESS
69779.52000000002,97,2021-03,C00765560,ARUNA MILLER FOR CONGRESS
63198.0,134,2021-03,C00662577,KATHY MANNING FOR CONGRESS
104430.68000000002,330,2021-06,C00509968,CARTWRIGHT FOR CONGRESS
192176.53000000012,599,2021-02,C00639146,JOSH HARDER FOR CONGRESS
99716.83,258,2021-03,C00344473,STABENOW FOR US SENATE
46429.53999999995,428,2021-02,C00413914,GILLIBRAND FOR SENATE
37798.34999999999,128,2021-02,C00582890,TOM O'HALLERAN FOR CONGRESS
85913.0,126,2021-06,C00385773,DEBBIE WASSERMAN SCHULTZ FOR CONGRESS
953208.8099999963,19190,2021-05,C00736876,WARNOCK FOR GEORGIA
425019.58999999997,3501,2021-06,C00575548,CATHERINE CORTEZ-MASTO FOR SENATE
114143.85,877,2021-02,C00649913,SPANBERGER FOR CONGRESS
388736.73000000056,5288,2021-03,C00574889,TAMMY FOR ILLINOIS
306574.6999999994,827,2021-03,C00640003,MIKIE SHERRILL FOR CONGRESS
53319.5,79,2021-06,C00469163,TED DEUTCH FOR CONGRESS COMMITTEE
384823.4599999978,1569,2021-03,C00458398,BENNET FOR COLORADO
228302.66000000006,1628,2021-06,C00639146,JOSH HARDER FOR CONGRESS
33928.0,78,2021-06,C00780437,OLIKARA FOR SENATE
71180.8899999999,448,2021-02,C00633859,DELGADO FOR CONGRESS
906328.639999892,16437,2021-04,C00696526,MARK KELLY FOR SENATE
35102.100000000006,109,2021-05,C00575233,ERIC LYNN FOR CONGRESS
40573.0,232,2021-05,C00541888,KATHERINE CLARK FOR CONGRESS
406462.77000000037,8892,2021-05,C00765800,FETTERMAN FOR PA
229108.0,272,2021-03,C00264564,MENENDEZ FOR SENATE
98321.09,551,2021-06,C00664375,ELAINE FOR CONGRESS
250358.0,175,2021-06,C00264564,MENENDEZ FOR SENATE
88479.87000000017,437,2021-03,C00503185,RO FOR CONGRESS INC
402428.10000000003,1007,2021-03,C00639146,JOSH HARDER FOR CONGRESS
416097.89999999973,1937,2021-04,C00458398,BENNET FOR COLORADO
133972.6499999998,864,2021-06,C00605592,PRAMILA FOR CONGRESS
179887.72,432,2021-03,C00308676,WYDEN FOR SENATE
32013.0,111,2021-03,C00345546,CITIZENS TO ELECT RICK LARSEN
172093.86,798,2021-03,C00605592,PRAMILA FOR CONGRESS
159898.78000000003,3613,2021-06,C00768317,COLORADANS FOR KERRY DONOVAN
338708.21999999986,2900,2021-04,C00588772,MAGGIE FOR NH
474802.13999999996,2213,2021-06,C00458398,BENNET FOR COLORADO
255111.60000000033,1767,2021-05,C00777904,CHERI BEASLEY FOR NORTH CAROLINA
62345.5,282,2021-06,C00774901,O'CONNOR FOR CONGRESS
340483.64,1834,2021-06,C00650150,ELISSA SLOTKIN FOR CONGRESS
121655.18,505,2021-04,C00575092,FRIENDS OF RAJA FOR CONGRESS
341957.88,1493,2021-03,C00648220,ANDY KIM FOR CONGRESS
21725.0,117,2021-06,C00433391,PINGREE FOR CONGRESS
93935.85,390,2021-06,C00502575,DR. RAUL RUIZ FOR CONGRESS
693516.3799999994,6492,2021-06,C00777771,TIM RYAN FOR OHIO
222515.30000000005,420,2021-03,C00462861,"KUSTER FOR CONGRESS, INC"
386132.53,1889,2021-02,C00575548,CATHERINE CORTEZ-MASTO FOR SENATE
375380.81999999995,511,2021-06,C00711150,MONDAIRE FOR CONGRESS
488771.4799999995,9868,2021-06,C00636571,KATIE PORTER FOR CONGRESS
181554.4,705,2021-03,C00575092,FRIENDS OF RAJA FOR CONGRESS
1038475.0599998662,20456,2021-05,C00696526,MARK KELLY FOR SENATE
19595.21,170,2021-02,C00638023,WEXTON FOR CONGRESS
178379.65,1485,2021-03,C00771972,LUCAS KUNCE FOR MISSOURI
310371.15,1419,2021-02,C00588772,MAGGIE FOR NH
104964.43999999992,648,2021-02,C00648220,ANDY KIM FOR CONGRESS
99547.5,454,2021-06,C00637363,JASON CROW FOR CONGRESS
135856.0,445,2021-06,C00728832,BRIDGET FLEMING FOR CONGRESS
29547.0,224,2021-06,C00772186,JUDY STAHL FOR CONGRESS
95986.40000000002,455,2021-04,C00637868,COLIN ALLRED FOR CONGRESS
424292.20999999216,2144,2021-06,C00777904,CHERI BEASLEY FOR NORTH CAROLINA
61255.33999999991,548,2021-04,C00413914,GILLIBRAND FOR SENATE
692460.57,3338,2021-03,C00588772,MAGGIE FOR NH
116907.0,326,2021-06,C00781328,QUARTEY FOR CONGRESS
189038.76,642,2021-06,C00658567,SUSAN WILD FOR CONGRESS
1258238.279999902,22035,2021-06,C00696526,MARK KELLY FOR SENATE
316272.85,1172,2021-06,C00257642,PEOPLE FOR PATTY MURRAY
45889.2,304,2021-05,C00712398,FRIENDS OF MELANIE DARRIGO
387414.00999999983,8115,2021-05,C00636571,KATIE PORTER FOR CONGRESS
21375.0,15,2021-04,C00555813,KATHLEEN RICE FOR CONGRESS
600100.5800000007,3691,2021-06,C00588772,MAGGIE FOR NH
156031.7099999999,487,2021-03,C00633859,DELGADO FOR CONGRESS
211390.0,373,2021-04,C00573758,VAN HOLLEN FOR SENATE
295627.13,2697,2021-05,C00257642,PEOPLE FOR PATTY MURRAY
704391.26,817,2021-03,C00765164,ALEX PADILLA FOR SENATE
64048.39000000003,228,2021-05,C00509968,CARTWRIGHT FOR CONGRESS
3290790.700000034,55029,2021-06,C00590489,VAL DEMINGS FOR CONGRESS
141031.15000000002,359,2021-06,C00508804,SINEMA FOR ARIZONA
22375.0,16,2021-03,C00446906,KURT SCHRADER FOR CONGRESS
1123625.6099999952,14131,2021-03,C00696526,MARK KELLY FOR SENATE
210325.0,105,2021-03,C00721449,JAKE AUCHINCLOSS FOR CONGRESS
31717.230000000003,195,2021-03,C00606939,ROSEN FOR NEVADA
249176.2600000001,843,2021-06,C00640003,MIKIE SHERRILL FOR CONGRESS
13643.75,84,2021-05,C00312017,KIND FOR CONGRESS COMMITTEE
50094.06,60,2021-02,C00662619,ANDY LEVIN FOR CONGRESS
295216.0,520,2021-04,C00769604,LASRY FOR WISCONSIN
443774.4700000001,1094,2021-04,C00775510,VAL ARKOOSH FOR US SENATE
291824.25,795,2021-03,C00637868,COLIN ALLRED FOR CONGRESS
189621.5,446,2021-06,C00492991,BLUMENTHAL FOR CONNECTICUT
33909.0,287,2021-04,C00513077,JULIA BROWNLEY FOR CONGRESS
311545.5,511,2021-05,C00769604,LASRY FOR WISCONSIN
65417.5,231,2021-03,C00660464,CHRIS PAPPAS FOR CONGRESS
185178.0,590,2021-04,C00765164,ALEX PADILLA FOR SENATE
74402.0,96,2021-05,C00475392,CHRIS COONS FOR DELAWARE
64022.5,335,2021-05,C00547240,MOULTON FOR CONGRESS
571736.9899999986,11125,2021-06,C00765800,FETTERMAN FOR PA
273625.0,929,2021-02,C00458398,BENNET FOR COLORADO
165925.0,94,2021-06,C00701953,ADRIANO ESPAILLAT FOR CONGRESS
129163.05,562,2021-03,C00664375,ELAINE FOR CONGRESS
180164.40000000002,420,2021-02,C00656686,TOM MALINOWSKI FOR CONGRESS
