total_raised,total_contributions,date,committee,committee_name
28865421.919999868,656673,2020-10,C00027466,NRSC
26151726.73000723,579595,2020-11,C00027466,NRSC
1609753.0400000408,38920,2020-11,C00651208,"JOHN JAMES FOR SENATE, INC."
2087175.2700000363,86703,2020-11,C00458828,"TEAM GRAHAM, INC."
6378523.329994687,198138,2020-11,C00193342,MCCONNELL SENATE COMMITTEE
34474705.38988941,658831,2020-11,C00729608,GEORGIANS FOR KELLY LOEFFLER
35902037.05003551,649587,2020-11,C00547570,PERDUE FOR SENATE
2844859.099999976,70640,2020-10,C00547570,PERDUE FOR SENATE
9382642.21000002,252085,2020-10,C00193342,MCCONNELL SENATE COMMITTEE
129050.73999999958,3408,2020-11,C00143743,REPUBLICAN PARTY OF TEXAS
133216599.05008718,2047686,2020-10,C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC."
1507308.4100000001,41521,2020-10,C00420935,KEVIN MCCARTHY FOR CONGRESS
15565589.819999315,337924,2020-10,C00666040,MCSALLY FOR SENATE INC
8585481.550000172,189458,2020-10,C00651208,"JOHN JAMES FOR SENATE, INC."
32263379.119974792,704794,2020-10,C00458828,"TEAM GRAHAM, INC."
6508938.020000161,151818,2020-10,C00546788,JONI FOR IOWA
450911.87000002374,11298,2020-10,C00717322,RODIMER FOR CONGRESS
3717706.0799999284,70540,2020-10,C00545772,THOM TILLIS COMMITTEE
135110.13,817,2020-10,C00720870,JESSE JENSEN FOR CONGRESS
38336.020000000695,895,2020-10,C00497818,WENSTRUP FOR CONGRESS
6461312.81999992,177217,2020-10,C00491357,STEVE DAINES FOR MONTANA
543926.6600000007,12636,2020-10,C00729608,GEORGIANS FOR KELLY LOEFFLER
37860.130000000005,1029,2020-10,C00304758,FRIENDS OF ROY BLUNT
268665.6900000076,5938,2020-10,C00715854,ALEK FOR OREGON
1453869.2899999851,44550,2020-10,C00547893,ELISE FOR CONGRESS
507341.4300000004,17690,2020-10,C00499988,"COTTON FOR SENATE, INC."
2273534.800000034,49638,2020-10,C00369033,TEXANS FOR SENATOR JOHN CORNYN INC.
1938395.5899999975,62090,2020-10,C00711689,LACY JOHNSON FOR CONGRESS
1877485.1199999964,51940,2020-10,C00726117,KIM KLACIK FOR CONGRESS
2574617.72,87611,2020-10,C00540302,TIM SCOTT FOR SENATE
691115.2999999858,20589,2020-10,C00725853,BURGESS 4 UTAH
4071226.4900000207,94560,2020-10,C00314575,COLLINS FOR SENATOR
2579733.2100000414,64022,2020-10,C00492454,CORY GARDNER FOR SENATE
28998.2,291,2020-10,C00717868,HOUSE CD6
20435.53,669,2020-10,C00384529,LISA MURKOWSKI FOR US SENATE
77119.26999999989,2851,2020-10,C00230482,"GRASSLEY COMMITTEE, INC."
640894.2900000003,12593,2020-10,C00701672,"TUBERVILLE FOR SENATE, INC."
644813.8900000006,9922,2020-10,C00570994,ALASKANS FOR DAN SULLIVAN
358199.6600000095,9301,2020-10,C00704981,MICHELLE STEEL FOR CONGRESS
1517161.2599999974,33865,2020-10,C00370056,DEVIN NUNES CAMPAIGN COMMITTEE
190600.5900000014,1797,2020-10,C00725259,ESSHAKI FOR CONGRESS
85383.04,2008,2020-10,C00395467,JEFF FORTENBERRY FOR UNITED STATES CONGRESS
70020.35999999997,2235,2020-10,C00459255,"FRIENDS OF TODD YOUNG, INC."
325117.4500000161,16301,2020-10,C00632257,MAST FOR CONGRESS
170407.44000000242,4684,2020-10,C00732925,KISTNER FOR CONGRESS
435218.5000000009,6609,2020-10,C00576173,KANSANS FOR MARSHALL
188192.61000000004,941,2020-10,C00717876,AMANDA ADKINS FOR CONGRESS
67574.88000000201,3345,2020-10,C00718346,KANSANS FOR LATURNER
63796.20000000121,1692,2020-10,C00715466,DAVID RICHTER FOR CONGRESS INC.
90994.98999999999,289,2020-10,C00677286,"STEIL FOR WISCONSIN, INC."
960122.0599999758,31187,2020-10,C00732958,CAWTHORN FOR NC
601520.0999999811,15843,2020-10,C00710103,NANCY MACE FOR CONGRESS
124325.5700000012,5120,2020-10,C00742247,SCOTT FRANKLIN FOR CONGRESS
118334.15,699,2020-10,C00739177,KEVIN O'CONNOR FOR U.S. SENATE INC.
232780.68000000226,8658,2020-10,C00712794,JEANNE FOR CONGRESS
1720101.9399999985,35763,2020-10,C00716860,JASON LEWIS FOR SENATE
89207.32999999882,2533,2020-10,C00666396,MICHAEL WALTZ FOR CONGRESS
244955.42999999985,9505,2020-10,C00652727,JOSH HAWLEY FOR SENATE
59511.0,86,2020-10,C00632067,RON ESTES FOR CONGRESS
145803.07000000254,3651,2020-10,C00735688,BOGNET FOR CONGRESS
249623.1600000044,4493,2020-10,C00715235,COLLINS FOR TEXAS
37422.390000000465,1039,2020-10,C00657833,GUY FOR CONGRESS
20548.0,138,2020-10,C00706275,PALLOTTA FOR CONGRESS
29139.939999999806,2394,2020-10,C00720011,SCOTT FITZGERALD FOR CONGRESS
633536.3700000049,12907,2020-10,C00660795,DAN CRENSHAW FOR CONGRESS
52559.329999999994,641,2020-10,C00373001,CITIZENS FOR TURNER
252982.36000001346,5106,2020-10,C00716498,ESTHER FOR CONGRESS
254835.02999999755,8546,2020-10,C00548289,MATT ROSENDALE FOR MONTANA
54934.37999999856,2116,2020-10,C00545749,EMMER FOR CONGRESS
72984.24000000142,2242,2020-10,C00722892,"SCHELLER FOR CONGRESS, INC."
161233.35999999996,3636,2020-10,C00633362,"HANDEL FOR CONGRESS, INC."
309360.1500000001,9715,2020-10,C00734491,MOWERS FOR CONGRESS
19242.42000000001,166,2020-10,C00629949,ALEX MOONEY FOR CONGRESS
58409791.65002455,1054834,2020-11,C00580100,"DONALD J. TRUMP FOR PRESIDENT, INC."
178698.27999999994,5552,2020-11,C00732958,CAWTHORN FOR NC
2110188.669999994,56061,2020-11,C00666040,MCSALLY FOR SENATE INC
364918.5100000003,10275,2020-11,C00726117,KIM KLACIK FOR CONGRESS
