campaign_id,total_unique_donors
S0AZ00350,718798
H0GA07208,8128
P00010298,645297
S0AK00196,339918
P80000722,4368519
S0MT00173,531077
S0GA00559,1191198
S0SC00289,1412720
P00006486,328710
H0NM03102,9558
S0OK00370,22623
S0KY00339,993338
H8CA50098,45216
S8GA00180,1228191
P60007168,1884834
P00009092,142518
S0NC00202,556831
H8NC08109,2660
P00009423,184089
H0CA25154,38863
S8MS00287,182822
S0AL00156,437411
S6PA00274,69640
S2FL00631,59919
H0MA04184,3453
S0IA00176,553328
H2CA15094,15041
S0KS00323,398310
S0TX00233,453137
H0MI06152,12331
S6VA00093,20726
H8AK00140,20587
H8NY15148,418049
H8MN05239,126001
P00012716,238083
S4MA00028,62682
S4MI00355,456277
H0CA23167,27490
P80006117,366572
S0CO00575,487981
H0TX21148,70603
P00009621,1039623
H8CA22154,1275
H0MT00090,2089
S0ME00111,690316
H8CA45130,217345
H0MA04143,3614
P00009795,176405
S4VT00033,277733
H0NY16143,55717
S4NJ00185,50631
S0KY00420,124072
P00010793,81443
H8CA05035,368319
H4NC12100,342
H0TX25131,2233
H8SC01116,23072
H0CA27085,214340
P00011999,33565
H8MI13250,93674
H0NY01202,2461
H0NY17257,373
H8OK05109,18165
H6IL08147,18531
H0NY15277,19331
S8AZ00197,7863
H8CO03192,25094
S0LA00386,34184
S2MA00170,97049
P00010454,62543
H0TX31097,12932
S8MN00578,49833
S8OR00207,27133
H6MN02131,13407
S2NC00497,4459
S6IL00292,26944
H0AZ08072,3935
H6GA05217,58505
P00011254,26425
H8CA10167,23722
H8TX10110,28620
H8IA04106,24923
H8MT01232,20492
S8WV00119,32285
H0TX28077,42930
H4MI12079,2570
H4CA12055,20808
H0NY01186,15390
S2PA00562,14212
S0AR00200,2778
H2NY17071,5463
H8NM01331,6863
H0MI03282,624
H0NJ05208,13690
H2NC02238,3286
H0CA22110,1934
H8NM02248,24524
H0TX24175,33110
H0OH04085,15337
H0OR03125,1416
H8FL01107,32618
H2IL10068,5224
H2NC11155,6726
H0AR02206,25452
S8MI00281,10758
H6WA07458,20901
H4FL15155,8839
H8TX07140,10887
H8MI11254,13462
H8CA49058,12986
H0OH12179,5436
S0NH00219,74912
H0NC09286,3793
S0KY00321,7262
S0MT00090,3919
S0TX00290,1858
H8WA03198,10877
H6OR04047,16757
S6MT00162,16782
S0IA00168,6003
S0SD00070,7550
H2NV04011,8537
S6NH00091,23961
S6NV00200,55122
H2CA42189,323
H0FL15088,3463
H8IA03124,21064
H0TX03112,684
H8MI08102,27226
H0KY06179,11332
H8MO01143,35917
H8NJ03206,20829
H8TN04107,3952
H0MI03316,15841
H8GA06393,43419
S0CO00286,19536
H0FL16094,10269
H2CO03211,15200
H8CO06229,12048
H0NE01120,3829
H0MO02254,14235
H8VA07094,30270
H8IA01094,20501
P00009910,89860
S6OH00163,19809
P00011833,47996
H0TX03120,5508
H8CA09060,7651
H4MA05084,2385
S0CO00435,1166
H8NY22151,15836
H8IN06152,1741
H0CA53107,17549
H0GA10269,83
S6RI00221,2365
S8NY00082,28467
S0TN00342,29193
H8NH01210,9331
H8AZ01104,11063
S0NM00058,59108
S2OH00402,13175
H0NY09080,1439
S0GA00393,10420
H0TX01108,13011
H8WA08189,14307
H0SC07029,1563
H8NY21245,79438
H0NC08254,58746
H8FL26039,23032
H8CA48035,21879
S0DE00175,5198
H8GA07201,20244
S2MO00528,11704
H4AZ07043,9231
H8PA07200,4156
H8TX23121,26579
S0MA00208,27952
H8KS03155,21628
H0GA09170,2707
H2CA39078,630
H2IL01042,82
H2GA14044,35054
H0NJ06206,1323
H0NM03110,35580
H0CA22102,70176
H0TN01092,2979
H8CA12262,30856
S2FL00458,3560
H6MD07160,2033
S2NC00356,12599
H8MA07032,45699
H8VA10106,6198
H0CA25170,7419
S0WY00152,14691
H0FL19106,4123
H8CT05245,7489
P00014407,6660
S2CT00132,19277
S2NM00088,2680
P00009290,47102
S2WI00219,15539
P00011338,6962
H0NY03059,116
H0IL01178,1349
S6IL00151,18722
H8UT04053,15273
H0IN05219,12159
H2GA14051,3266
H0CO01144,168
H4MA03022,2862
H8CA25074,7963
H8NY19181,14071
H0OH12161,169
H8VA02111,21252
H8TX32098,19794
H0NY17265,4660
H0FL18199,1461
H0IA02156,13370
H0NC11175,16818
S8TX00459,12124
H8AZ08083,22475
H8IN05188,531
H8IL03102,29169
H8NJ04162,494
H0TX24167,12119
H2OR01133,2236
H0WA10018,8146
H2CA25184,183
H0VA05145,38094
H0VA05178,1911
H0IN01150,757
H0WI08125,3187
H0WV01114,2271
H0OH10116,15337
H0OR01186,689
H0OH04093,28136
H2CA28113,444
H0WA06099,4982
H8IL09067,1373
H8TX22313,13724
S0CT00177,15183
H4NJ12149,1349
H0MD05183,8675
S6MN00267,21852
P00012054,4837
H8TX14120,1712
S0WV00090,1372
H8MN03143,6671
H0CA42217,2398
H0NY02192,13854
H2CA31125,18974
H0CT03072,1765
H0NY17174,27712
H0TX06099,2491
H8PA15229,12018
P00011866,2127
H2CA00120,6978
H4VA08224,2537
H0NY15160,14298
H2SC02042,4783
H8IL04134,709
H4FL20023,4012
S8NV00156,10516
H0PA10110,13729
H0OH02139,2107
S0IA00150,3638
H8NE02220,38218
H6NJ08118,672
H0WA08046,1883
H8NJ11142,16608
S6MD03441,4473
H0WA10034,3870
H0MA01081,28979
H6NJ05171,2618
S0GA00401,3329
S2LA00150,1654
H2CA36439,11267
H8TX25159,19979
H2FL25067,135
H2NY22139,11963
H6NV04020,9701
H0WI07135,3717
H2AZ07070,6603
S2WA00189,16493
H8NJ07223,17580
S2HI00106,5876
H6WI03099,3209
H0VA01235,13954
H0TX02106,18087
H0RI02139,532
H8IL14174,38007
H8LA03060,8138
H8IL06139,15122
H8CA39174,13727
H0CA03078,1972
H0MN08156,8918
H0WA10075,15469
H6VT00160,8959
H0NV02209,4058
S0ME00103,6880
H0SC04281,1282
H2CA43245,1114
H2IL17071,15855
H0NY06078,1001
H2WI02124,16948
H0NJ02171,16098
H8NY24090,10312
H0FL23082,7235
H0LA05138,270
H0AR03105,5103
H2OH17109,5869
H8MN01279,13479
H8TN02176,2901
H0NC02125,7130
H0FL05147,403
H0NY03075,1450
H4MA06090,1627
S0LA00345,592
H0MA02113,13
H0MA04176,2228
S2WI00342,2557
H8ME02185,18358
H0MN04049,1292
H8CA10126,20692
S0WI00247,3447
H0IL12092,248
H6MD08457,5310
H0KS02196,6648
S0CO00211,9413
H0NC11159,69
H2FL09186,33
H0WA05125,1902
H0NJ02205,99
H0TX26139,102
H0MI02201,3125
H0PA01325,13469
H0TX02080,3724
H0WA10042,2012
S0NY00410,7106
S0IA00200,8215
H0IL16184,2587
S6OR00110,10486
H8CA01257,13943
H0IN01200,177
H2TN03219,631
H0CA53123,2039
P00006213,6947
H0MD04145,335
H8IL13150,10035
S6PA00217,4790
S0CO00450,1205
S0WY00129,1220
H0KS01172,1908
H4CA33119,2858
H2CA39136,3431
H0AZ06084,735
H0TN05382,1811
H0FL04157,5347
S0TX00266,5710
S0ID00164,68
H8NC13067,3244
H0FL18207,10538
H0WI01120,4323
H0CA04167,2140
S4HI00136,3133
H2PA18192,1103
H0IN03248,240
H8NC11129,478
H0SC02061,23070
H0WY01036,1052
H2MN07014,1330
H0GA14097,2899
H0MA10082,579
H0IL11102,833
H6PA16338,1938
H0NV02217,219
H0NY16135,4723
H0OH14084,3836
H8FL27193,7362
H8OR05107,607
S0MA00166,362
S2CA00955,3824
S0GA00468,10789
H0OH04101,5083
H0WA02080,1837
H0RI01073,2918
H2PA17079,7501
H0NY13124,768
H0NH02181,3928
H8NY11113,20789
H0CO03132,1513
H0NE01112,126
S8TN00311,7822
H0IL05096,138
H0OH01099,12251
S2PA00463,1913
S0DE00092,7614
H0MN06150,359
S0WV00249,1011
S8WA00194,5354
H6TX24149,291
H2TX35011,3792
H0FL03183,5611
H8PR00054,1313
H0CA53230,249
S0GA00419,3085
H8CA12098,998
H0SC05056,3018
P00011312,528
S0NJ00233,858
H0VA05152,977
H0MN05210,6924
H8AZ04165,1737
H0AL07086,1157
H0TX31089,132
S0ID00180,18674
H0HI02155,7536
S2PA00398,8329
H4CA35031,1429
H6WA04141,322
H0NC02117,951
S0MT00108,891
H0CA33117,1001
H0NJ02197,2043
H0NY14346,7986
S0KS00232,1170
H6FL07140,1583
H0MI01211,2276
H0MA04218,1164
H0WA02189,1813
H8PA06087,6989
H0TX10216,4443
H2NY10092,5633
H0KS02170,492
S2WI00359,2113
H2CA30275,1187
H0OH03103,8387
H8TX16109,1166
H0CO04197,4014
H0CA04175,6498
H4NY04075,1367
H0MD01232,2794
S6NJ00289,3192
H0MI07150,4361
S0TX00258,2440
S0NC00343,1705
H0CO05129,295
H6MD04209,490
H0CO03157,953
H0IN02232,79
H0IN01184,535
H2FL23021,34
H0IL18073,12
H2WA06129,2311
H0PA10102,1199
H0NY10096,770
S0CO00518,2212
H0VA06044,365
S2MO00478,2749
H0NY15194,3255
H8WI05165,2970
H0FL21144,145
H2CO03203,817
H8NY09158,1674
H2CA23155,1838
H8IL07103,2734
H2TX30111,504
H0CA06162,246
H6AZ01199,6590
H0VA11119,719
H8MI09118,2853
H0CA22094,1760
H8TX31033,1625
H8CT01046,245
H2NE02124,610
S2AR00115,68
H8AZ06103,1546
H2CO03245,1729
S2NC00471,232
H0GA05301,1953
H6FL13205,3090
H8OH08097,393
H8AZ05154,3328
H2CA06259,723
H0NY05070,3072
H0PA11183,440
H8ME01120,2028
S8NE00216,702
S0GA00542,438
H2MI05119,1798
H2FL14053,3086
H8VA11062,3513
H0OH01081,2948
H2CA52089,1320
H2NY12197,2878
H4NY11138,906
H8TX17149,1129
H0CA08101,3722
H2NY14037,3167
H8AZ09040,3340
H0ID01311,1526
H2FL20134,53
H6NH01230,373
H8NY01155,1874
H0TX26121,633
H0NC06191,261
S6RI00163,1077
H8NY27176,3439
H2TN05305,2519
H2WA03134,100
H0NC06233,21
H0MO05182,377
H0NJ08129,1404
H0CA49113,44
H0MA04168,1805
H0MA08045,3090
H6TX15162,1055
H0TX22161,260
S2NC00406,176
H4GA13034,1026
H8MA02041,768
H0OR05096,1338
H8CA29100,1375
H6FL08213,1770
H0TX05109,562
H2AZ02329,1843
H2CA00104,226
H8CA49074,1493
H0CA42233,466
H0GA07281,445
H4NC01046,299
H0PA01309,997
H2CA21191,287
H6GA04129,1589
S0CO00500,5128
H8NY12129,1649
H2OH12118,695
H2MD02160,719
H4WI04183,602
S0NM00074,2074
H4NJ01084,964
S0MA00182,415
H2NY21149,1157
H0GA07323,1617
H0NJ04151,1916
H4CA23011,762
S0CO00484,773
H8PA04116,2589
H8NY23183,4610
H8NJ02174,1459
H0MA04242,836
H0NY24063,1585
H2NC11205,586
H2OH03125,1710
H2MD01220,2378
H0AZ01358,3437
H6MD03292,1102
H2VA01082,331
H8AL03062,672
H0WV03151,882
H8NY19058,919
H0WV02179,2506
H2NV01264,1175
S2VA00142,2604
H6DE00206,2532
H6NC04037,812
H0CA12111,593
H2NC11148,1141
S2PA00307,85
H8IN02177,2196
H0CA16112,510
H2NY11124,1255
H0CA34131,2097
H0NY10070,1754
H0PA16034,4076
S0LA00311,2356
P00010827,410
H8GA01063,695
H6CO07023,1392
H0IL07175,951
H8NJ03073,474
H0TX04151,428
S8DE00079,720
H2FL10192,308
H0MA04200,1107
H0AZ06068,302
H4TX09095,849
H8TX24111,293
H0WA03161,42
H0KY04117,2005
H6CA24303,135
H2NY00010,706
H0TX20116,43
H2OH09031,373
H8MA03106,1045
S0NE00072,241
S4VT00017,2637
H6OR03064,2356
H0TX18268,98
H0NY12175,3289
H0MA04192,2338
H0IN01143,793
H0FL07200,9
S0ME00145,887
H4CA11081,329
H4MS02068,180
H2NY06116,1063
H0NM03136,295
H6CA46116,456
H0TX03104,247
H0MA06130,635
H2HI02128,266
H6PA02171,831
H0TX08129,256
H0TX12238,528
H0MO06198,84
H0IL03109,946
H0OH05074,1472
H2WA09115,474
H0WA10059,801
H0NC10193,172
H2CA23148,2186
H0MI12168,1298
P00010520,4581
H2FL13220,682
H0FL19080,849
H2MT02100,3017
H2AZ04192,389
H0IN09179,1144
