campaign_1,campaign_2,overlap_count
P80000722~2020,S0AL00230~2020,51
P80000722~2020,H0TX32087~2020,27
P80000722~2020,P80001571~2020,3837
P80000722~2020,H0MD07197~2020,210
P80000722~2020,S6ME00159~2020,529
P80000722~2020,S4CO00395~2020,280
P80000722~2020,H8MO09153~2022,18
P80000722~2020,S4LA00107~2020,51
P80000722~2020,S8AZ00221~2020,594
P80000722~2020,H6AK00045~2020,43
P80000722~2020,H4MI07103~2020,14
P80000722~2020,H4NY21079~2020,283
P80000722~2020,H0WI03175~2022,30
P80000722~2020,H8OH12180~2020,6
P80000722~2020,S4SC00240~2022,272
P80000722~2020,H8OH05036~2020,3
P80000722~2020,S6AL00195~2020,31
P80000722~2020,S4NC00162~2020,277
P80000722~2020,S0SC00149~2020,861
P80000722~2020,H0GA07273~2020,23
P80000722~2020,H0IN02190~2020,8
P80000722~2020,S0UT00165~2022,14
P80000722~2020,S4GA11285~2020,987
P80000722~2020,H0LA01087~2022,25
P80000722~2020,S2MT00096~2020,324
P80000722~2020,S2AZ00356~2022,14
P80000722~2020,H6CA22125~2020,227
P80000722~2020,H2NY14094~2022,14
P80000722~2020,S0GA00526~2020,969
P80000722~2020,S8MI00372~2020,449
P80000722~2020,S2GA00225~2022,125
P80000722~2020,S4IA00129~2020,378
P80000722~2020,H8FL27185~2020,55
P80000722~2020,S0KS00257~2020,28
P80000722~2020,S4LA00065~2022,98
P80000722~2020,H2VA10182~2022,3
P80000722~2020,H0NJ07261~2020,34
P80000722~2020,H4WA05077~2020,33
P80000722~2020,H0TX07170~2020,81
P80000722~2020,H0LA01087~2020,238
P80000722~2020,S0NM00124~2020,17
P80000722~2020,H8TX06266~2022,75
P80000722~2020,H0NC11233~2020,88
P80000722~2020,H0MN05178~2020,263
P80000722~2020,H0KS03244~2020,1
P80000722~2020,H0OR04107~2020,39
P80000722~2020,H2TX32109~2022,3
P80000722~2020,H6IL18088~2020,4
P80000722~2020,S2MO00585~2022,27
P80000722~2020,H6WY00159~2020,38
P80000722~2020,H6OH04082~2022,24
P80000722~2020,S2PA00505~2022,25
P80000722~2020,H0NV03132~2020,38
P80000722~2020,H8CA20059~2020,116
P80000722~2020,S0FL00338~2022,162
P80000722~2020,H0CA43108~2020,147
P80000722~2020,H8TX02166~2020,78
P80000722~2020,H6FL18097~2020,51
P80000722~2020,H2FL14186~2022,14
P80000722~2020,S0VA00146~2020,22
P80000722~2020,H8CA39240~2022,64
P80000722~2020,S2NC00505~2022,9
P80000722~2020,H0MI03290~2020,11
P80000722~2020,H0OH06189~2020,7
P80000722~2020,H0IN05326~2022,11
P80000722~2020,H8FL27185~2022,44
P80000722~2020,H0CA48198~2020,67
P80000722~2020,H2OH02085~2020,14
P80000722~2020,S2TX00106~2020,204
P80000722~2020,H6FL02208~2020,7
P80000722~2020,H2PA04135~2020,35
P80000722~2020,H6NE02125~2020,37
P80000722~2020,H2WA08208~2022,6
P80000722~2020,S2KY00012~2020,825
P80000722~2020,H0MN01045~2020,41
P80000722~2020,H0NY14270~2020,34
P80000722~2020,H0NC09187~2020,27
P80000722~2020,H0TX24209~2022,27
P80000722~2020,H8VA05171~2020,14
P80000722~2020,H0CO06119~2020,3
P80000722~2020,S8MS00261~2020,24
P80000722~2020,H2CA20094~2020,47
P80000722~2020,S0KS00315~2020,41
P80000722~2020,H8NJ02166~2020,76
P80000722~2020,H2NY14128~2022,6
P80000722~2020,S4AR00103~2020,93
P80000722~2020,H0CO03165~2020,50
P80000722~2020,H2VA07170~2022,20
P80000722~2020,H0IL06060~2020,46
P80000722~2020,H8IA02043~2020,28
P80000722~2020,H0NH01282~2020,40
P80000722~2020,H0IA01174~2020,49
P80000722~2020,H0VA07158~2020,39
P80000722~2020,H4NY22051~2020,70
P80000722~2020,H6CA22125~2022,115
P80000722~2020,H6OH04082~2020,143
P80000722~2020,H2SC07256~2022,17
P80000722~2020,H0FL13158~2020,61
P80000722~2020,S4GA11285~2022,172
P80000722~2020,H8OH16108~2020,22
P80000722~2020,H8MS03125~2020,6
P80000722~2020,H2TN05339~2022,3
P80000722~2020,S0IA00028~2022,26
P80000722~2020,H4NY22051~2022,54
P80000722~2020,H0MN02134~2020,11
P80000722~2020,H0IL17083~2020,30
P80000722~2020,H0FL15104~2020,7
P80000722~2020,H0WA03187~2022,680
P80000722~2020,H8KS04112~2022,7
P80000722~2020,H2NC08185~2020,24
P80000722~2020,H0MI11129~2020,7
P80000722~2020,H0CA25105~2020,82
P80000722~2020,S2NV00308~2022,17
P80000722~2020,S0KY00156~2022,112
P80000722~2020,S2AZ00372~2022,24
P80000722~2020,H4NY21079~2022,82
P80000722~2020,S2MO00536~2022,32
P80000722~2020,H8CA39240~2020,130
P80000722~2020,H0NY11078~2022,36
P80000722~2020,H8WV03097~2020,24
P80000722~2020,H8CA20059~2022,43
P80000722~2020,H0TX07170~2022,26
P80000722~2020,H2MO02102~2020,46
P80000722~2020,H0VA02118~2020,32
P80000722~2020,H6FL18097~2022,74
P80000722~2020,H8TX02166~2022,54
P80000722~2020,H2OH16051~2022,15
P80000722~2020,H0UT04076~2020,70
