campaign_id,total_unique_donors
S0AL00230~2020,20922
H0TX32087~2020,13413
P80001571~2020,1963488
H0MD07197~2020,91273
S6ME00159~2020,94434
S4CO00395~2020,101569
H8MO09153~2022,6663
S4LA00107~2020,14286
S8AZ00221~2020,251220
H6AK00045~2020,14551
H4MI07103~2020,4901
H4NY21079~2020,124753
H0WI03175~2022,20831
H8OH12180~2020,870
S4SC00240~2022,122724
H8OH05036~2020,400
S6AL00195~2020,2130
S4NC00162~2020,97577
S0SC00149~2020,573218
H0GA07273~2020,11914
H0IN02190~2020,3701
S0UT00165~2022,8114
S4GA11285~2020,437639
H0LA01087~2022,7733
S2MT00096~2020,186852
S2AZ00356~2022,10375
H6CA22125~2020,140151
H2NY14094~2022,3677
S0GA00526~2020,440643
S8MI00372~2020,192820
S2GA00225~2022,64239
S4IA00129~2020,155409
H8FL27185~2020,23433
S0KS00257~2020,2272
S4LA00065~2022,65233
H2VA10182~2022,1786
H0NJ07261~2020,8525
H4WA05077~2020,12199
H0TX07170~2020,35118
H0LA01087~2020,124098
S0NM00124~2020,9283
H8TX06266~2022,46883
H0NC11233~2020,44775
H0MN05178~2020,116443
H0KS03244~2020,659
H0OR04107~2020,14099
H2TX32109~2022,1025
H6IL18088~2020,877
S2MO00585~2022,14099
H6WY00159~2020,9276
H6OH04082~2022,17361
S2PA00505~2022,12032
H0NV03132~2020,24714
H8CA20059~2020,60905
S0FL00338~2022,76324
H8ND00096~2022,487
H0CA43108~2020,64622
H8TX02166~2020,29416
H6FL18097~2020,26219
H2FL14186~2022,10467
S0VA00146~2020,10200
H8CA39240~2022,23083
S2NC00505~2022,5967
H0MI03290~2020,5291
H0OH06189~2020,2742
H0IN05326~2022,5156
H8FL27185~2022,14060
H0CA48198~2020,24685
H2OH02085~2020,5067
S2TX00106~2020,82178
H6FL02208~2020,2346
H2PA04135~2020,14293
H6NE02125~2020,15362
H2WA08208~2022,272
S2KY00012~2020,333934
H0MN01045~2020,20740
H0NY14270~2020,10755
H0NC09187~2020,11940
H0TX24209~2022,14589
H8VA05171~2020,7353
H0CO06119~2020,824
S8MS00261~2020,10709
H2CA20094~2020,20767
S0KS00315~2020,12785
H8NJ02166~2020,902
H2NY14128~2022,1669
S4AR00103~2020,48052
H0CO03165~2020,20317
H2VA07170~2022,4490
H0IL06060~2020,18417
H8IA02043~2020,18640
H0NH01282~2020,14780
H0IA01174~2020,20518
H0VA07158~2020,19293
H4NY22051~2020,32213
H6CA22125~2022,63007
H6OH04082~2020,94213
H2SC07256~2022,14953
H0FL13158~2020,30440
S4GA11285~2022,70687
H8OH16108~2020,8751
H8MS03125~2020,5535
H2TN05339~2022,1505
S0IA00028~2022,10426
H4NY22051~2022,21989
H0MN02134~2020,8173
H0IL17083~2020,11578
H0FL15104~2020,5066
H0WA03187~2022,10524
H8KS04112~2022,3026
H2NC08185~2020,13034
H0MI11129~2020,4042
H0CA25105~2020,39625
S2NV00308~2022,6732
S0KY00156~2022,53278
S2AZ00372~2022,5014
H4NY21079~2022,44404
S2MO00536~2022,17162
H8CA39240~2020,49543
H0NY11078~2022,9664
H8WV03097~2020,8055
H8CA20059~2022,24772
H0TX07170~2022,11095
H2MO02102~2020,20566
H0VA02118~2020,16222
H2FL07164~2022,241
H0NY27116~2020,95
H6FL18097~2022,22794
H8TX02166~2022,21261
H2OH16051~2022,7927
H0UT04076~2020,39522
H0FL13158~2022,11203
H0IA01174~2022,17892
H8FL06148~2020,7562
H0FL26036~2020,10686
H0SC01394~2020,28268
H0FL09115~2022,970
H8IL14083~2020,21036
H2IL13120~2022,14028
H8NY01148~2020,28928
H2SC02059~2022,2306
H8GA06286~2020,14146
H6MI04113~2020,16515
H4NY24073~2020,14651
H2GA12121~2022,877
H6LA03148~2020,4459
H6GA03113~2020,3284
H0PA08221~2020,12045
H0OK05205~2020,17867
H8IA02043~2022,13485
H0WA08103~2020,1490
H0OK05205~2022,7594
H0UT04076~2022,7638
S0VA00179~2020,1297
H0TX16106~2022,737
H4AR02141~2022,2216
S2AK00127~2022,7103
H6PA08277~2020,21048
H8CA49108~2022,1289
H0NC11233~2022,19280
H0AZ01259~2020,788
S4WV00159~2020,9555
H0TX13228~2022,27311
S2CO00241~2022,87
H0CA25105~2022,15004
H2CA20094~2022,7096
H2UT02324~2020,4289
H2AZ09175~2022,1475
H0MI13471~2020,4782
H2UT02324~2022,2187
H0WI05113~2020,2588
H0VA10186~2020,5320
H0TX13228~2020,12612
H4NC05146~2020,8087
H0CO03165~2022,9788
H8NJ02166~2022,5338
H0MS04120~2020,2288
H0GA06192~2022,8717
S0WY00137~2020,2744
H2AZ01354~2022,7717
H2NC08185~2022,7781
H0OR04107~2022,8354
S0MN00328~2020,44345
H8FL17053~2022,998
H2MO02102~2022,6325
S2NC00489~2022,7080
H2TX08182~2022,14800
H2CA49242~2022,386
S0MO00183~2022,409
H0WA03187~2020,27131
H8TX21307~2020,12774
H2MI07123~2022,5134
H0NY02234~2022,11870
H0FL26036~2022,7451
H0FL03159~2020,398
H0NV04015~2020,8602
S8AL00381~2022,4813
H0MN07091~2020,13596
H8PA18199~2020,4676
H0NJ02155~2020,2944
H2IL13120~2020,15499
H0TX22302~2022,2740
H4MT00050~2020,17238
H4TX10093~2020,15051
H8OH01043~2022,6083
H6NE02125~2022,8316
H8IN06129~2020,2728
H0SC01394~2022,11567
S0WI00197~2022,15327
H0TX24209~2020,15987
H0KS02188~2020,3255
H8ID02064~2022,163
H8TN07076~2022,547
H0CA48198~2022,15670
H4NY24073~2022,6409
H0WI03175~2020,8930
H4WV02080~2022,923
H0TX22302~2020,8150
H8OH01043~2020,13752
H8AZ08158~2020,9664
H6PA08277~2022,7188
H0MN03124~2020,5031
H2IA05072~2020,403
H0NC09187~2022,1416
H0TX15124~2022,9142
H2OH03067~2020,2143
H0KY06104~2020,13056
H6MS01131~2022,2571
H0NY02267~2020,177
H2GA06172~2022,1203
H8KS02199~2020,8172
H6OH08315~2020,3057
H0VA08198~2020,269
H4MO08162~2020,466
H6AK00045~2022,1178
H8PA05071~2022,1629
H8NM02156~2020,16747
S0GA00567~2020,5453
H0TX35015~2020,9748
S4OK00232~2022,2021
H0WA08103~2022,1851
H0IL17083~2022,2098
H8FL15230~2020,5933
H8AL02171~2020,2757
H0MI08141~2020,11926
H0SC03077~2022,3992
H0IL11052~2020,5451
S2NC00588~2022,449
H0FL03175~2020,3457
H0CA26145~2020,481
H2MO04140~2022,5303
H8PA18199~2022,3075
H0IL15129~2020,2810
H0MI03308~2022,6738
H2SC02059~2020,7307
H2KY05151~2022,99
H6MS01131~2020,2409
H6FL13148~2020,3045
H6FL01119~2022,2402
H0NY11078~2020,13331
H0MN01045~2022,10262
S0KS00091~2022,3206
H2OH14064~2020,541
S0TN00169~2020,7237
H0PA03271~2022,1202
H6IN03229~2020,2881
H2AZ09142~2022,2662
S8ID00027~2022,6457
H0VA10160~2020,1151
H2MN05166~2022,8127
H4IA03115~2020,9524
H0TX32079~2020,1939
H4ME02234~2022,1170
H0CA28182~2020,10553
H0KS01123~2020,2140
