outgoing_candidate_id,outgoing_candidate_name,outgoing_candidate_office,outgoing_candidate_state,outgoing_candidate_district,outgoing_candidate_cycle,outgoing_candidate_total_donors,incoming_candidate_id,incoming_candidate_name,incoming_candidate_office,incoming_candidate_state,incoming_candidate_district,incoming_candidate_cycle,incoming_candidate_total_donors,overlap_count,overlap_pct_of_outgoing,overlap_pct_of_incoming
P80000722~2020,"BIDEN, JOSEPH R JR",P,US,00,2020,4368519,P80001571~2020,"TRUMP, DONALD J.",P,US,00,2020,1963488,3837,0.0009,0.002
P80001571~2020,"TRUMP, DONALD J.",P,US,00,2020,1963488,P80000722~2020,"BIDEN, JOSEPH R JR",P,US,00,2020,4368519,3837,0.002,0.0009
P80001571~2020,"TRUMP, DONALD J.",P,US,00,2020,1963488,P80000722~2020,"BIDEN, JOSEPH R JR",P,US,00,2020,4368519,3837,0.002,0.0009
P80000722~2020,"BIDEN, JOSEPH R JR",P,US,00,2020,4368519,P80001571~2020,"TRUMP, DONALD J.",P,US,00,2020,1963488,3837,0.0009,0.002
P80001571~2020,"TRUMP, DONALD J.",P,US,00,2020,1963488,P60007168~2020,"SANDERS, BERNARD",P,US,00,2020,1884834,2462,0.0013,0.0013
P60007168~2020,"SANDERS, BERNARD",P,US,00,2020,1884834,P80001571~2020,"TRUMP, DONALD J.",P,US,00,2020,1963488,2462,0.0013,0.0013
P80001571~2020,"TRUMP, DONALD J.",P,US,00,2020,1963488,H0NY14346~2020,"CARUSO-CABRERA, MICHELLE",H,NY,14,2020,7986,1952,0.001,0.2444
H0NY14346~2020,"CARUSO-CABRERA, MICHELLE",H,NY,14,2020,7986,P80001571~2020,"TRUMP, DONALD J.",P,US,00,2020,1963488,1952,0.2444,0.001
P80001571~2020,"TRUMP, DONALD J.",P,US,00,2020,1963488,P00006486~2020,"YANG, ANDREW MR.",P,US,00,2020,328710,1874,0.001,0.0057
P00006486~2020,"YANG, ANDREW MR.",P,US,00,2020,328710,P80001571~2020,"TRUMP, DONALD J.",P,US,00,2020,1963488,1874,0.0057,0.001
