campaign_1,campaign_2,overlap_count
S0SC00149,S0SC00149,288323
S0SC00149,H0MN07091,4776
S0SC00149,H8PA05071,539
S0SC00149,H0TX13228,6375
S0SC00149,P80001571,128931
S0SC00149,S0NM00124,1370
S0SC00149,S6ME00159,30912
S0SC00149,S8AZ00221,62261
S0SC00149,S4SC00240,47400
S0SC00149,S0GA00526,74873
S0SC00149,H6CA22125,40580
S0SC00149,H0LA01087,33404
S0SC00149,S4GA11285,77804
S0SC00149,H0MN05178,32383
S0SC00149,H8CA20059,23653
S0SC00149,H6AK00045,5347
S0SC00149,H0NC11233,16737
S0SC00149,S2KY00012,86215
S0SC00149,H8NY01148,9994
S0SC00149,S4AK00214,106877
S0SC00149,H8FL27185,6807
S0SC00149,H0SC01394,11728
S0SC00149,H4NY21079,38836
S0SC00149,S2MT00096,51714
S0SC00149,H0PA07132,1424
S0SC00149,H0FL13158,9534
S0SC00149,H6WY00159,4920
S0SC00149,S0KY00156,7045
S0SC00149,H4NY22051,14639
S0SC00149,S0GA00567,1974
S0SC00149,S4CO00395,31891
S0SC00149,H6OH04082,38847
S0SC00149,H2MO02102,7667
S0SC00149,H0IA01174,10481
S0SC00149,H8NJ02166,10549
S0SC00149,S4NC00162,27956
S0SC00149,H0FL26036,4185
S0SC00149,H6FL18097,11033
S0SC00149,H6NE02125,6366
S0SC00149,H4MT00050,4897
S0SC00149,H0NY27090,612
S0SC00149,S0MN00328,14444
S0SC00149,H8CA39240,18752
S0SC00149,H2PA04135,4952
S0SC00149,H0VA07158,4368
S0SC00149,H6LA03148,2626
S0SC00149,H4NC05146,3616
S0SC00149,S8MI00372,42880
S0SC00149,H2TX06335,806
S0SC00149,H2IL13120,6872
S0SC00149,S0FL00338,20643
S0SC00149,H2TX33040,140
S0SC00149,H0NV03132,7365
S0SC00149,H6OH08315,1306
S0SC00149,S4IA00129,45812
S0SC00149,S2MO00536,2946
S0SC00149,S4OR00156,104
S0SC00149,S8FL00273,7958
S0SC00149,H6CO03139,2147
S0SC00149,H8OH15076,1098
S0SC00149,H2GA06131,2
S0SC00149,S4LA00065,22283
S0SC00149,S6IN00191,8050
S0SC00149,H0CA43108,15448
S0SC00149,H2LA05126,2380
S0SC00149,H4IA03115,3065
S0SC00149,H0TX15124,1260
S0SC00149,H0CA48024,2950
S0SC00149,H0TX24209,6830
S0SC00149,S8IN00171,1850
S0SC00149,S2MO00585,3294
S0SC00149,H8SD01055,534
S0SC00149,S2PA00505,9097
S0SC00149,H0NC09187,3740
S0SC00149,S0TN00144,701
S0SC00149,H0CA25105,10748
S0SC00149,H2TX31044,6952
S0SC00149,H8KS02199,3450
S0SC00149,H2NC08185,3524
S0SC00149,H8PA18199,2843
S0SC00149,H0MD07197,21719
S0SC00149,H2TX26093,289
S0SC00149,H0PA08205,303
S0SC00149,H2SC02059,3531
S0SC00149,S8OH00086,465
S0SC00149,H0CO03165,5428
S0SC00149,H0MN01045,5733
S0SC00149,H0OR04107,3891
S0SC00149,S2MO00593,3570
S0SC00149,H2FL14186,4750
S0SC00149,S0IA00028,5511
S0SC00149,H0VA02118,6442
S0SC00149,H4CA45089,2270
S0SC00149,H0GA07273,2764
S0SC00149,H2OH15137,2
S0SC00149,H0TX07170,8995
S0SC00149,H0TX35015,4107
S0SC00149,H0UT04076,11973
S0SC00149,S0UT00165,4387
S0SC00149,H8TX02166,11198
S0SC00149,H0MS04120,1073
S0SC00149,H6MI01226,5015
S0SC00149,S0AL00230,8475
S0SC00149,H4NY24073,6718
S0SC00149,S8MS00196,1885
S0SC00149,S4LA00107,7939
S0SC00149,S2TX00312,12743
S0SC00149,H0WV01072,7
S0SC00149,H8TX06266,7448
S0SC00149,H0MI08141,1673
S0SC00149,H0KY06104,4661
S0SC00149,H0NY11078,4599
S0SC00149,S6AL00195,432
S0SC00149,H0CA08135,734
S0SC00149,H8FL06148,3609
S0SC00149,S4OK00232,1055
S0SC00149,H8MS03125,2148
S0SC00149,S8TN00337,7187
S0SC00149,S0NH00334,1123
S0SC00149,H8IA02043,7042
S0SC00149,H8VA05171,3155
S0SC00149,S8UT00176,559
S0SC00149,H0MI03308,911
S0SC00149,H0IL06060,4868
S0SC00149,S4AR00103,25905
S0SC00149,S2TX00106,28712
S0SC00149,H0WA03187,8520
S0SC00149,H8OH01043,5388
S0SC00149,H8AZ08158,4257
S0SC00149,S4NE00090,3004
S0SC00149,H0ME02075,126
S0SC00149,H8IL14083,4582
S0SC00149,H0NJ02155,703
S0SC00149,H2SC07256,651
S0SC00149,S8MO00160,11148
S0SC00149,H4WA05077,4958
S0SC00149,H0FL07150,69
S0SC00149,S2PA00489,2612
S0SC00149,H6GA03113,1921
S0SC00149,H2CA20094,6339
S0SC00149,H6TX12060,3536
S0SC00149,H0NY14270,4601
S0SC00149,S2NC00307,284
S0SC00149,H4MO08162,216
S0SC00149,H6PA08277,6290
S0SC00149,H8FL15230,2802
S0SC00149,H6IN03229,1871
S0SC00149,H2GA09150,1997
S0SC00149,S4OK00083,4295
S0SC00149,H0CA26145,300
S0SC00149,H0TX22302,2214
S0SC00149,S0WI00197,6719
S0SC00149,H2OH02085,2581
S0SC00149,H0CT03155,45
S0SC00149,H0IL11052,1885
S0SC00149,S0KS00091,1051
S0SC00149,H0ME02083,1422
S0SC00149,H2NY18087,37
S0SC00149,H8OH16108,2482
S0SC00149,H6TX02079,2506
S0SC00149,H0IL17083,3452
S0SC00149,H8NM02156,4725
S0SC00149,H0TX32087,4593
S0SC00149,H0TN01118,300
S0SC00149,H8OH05036,409
S0SC00149,S0KS00315,4556
S0SC00149,H8VA01147,792
S0SC00149,S8MS00261,6580
S0SC00149,S0TN00169,3858
S0SC00149,H2SC07223,6
S0SC00149,H8KY02031,1074
S0SC00149,H0CA28182,5201
S0SC00149,H6FL02208,1086
S0SC00149,H8SC04250,1147
S0SC00149,S6WY00068,3072
S0SC00149,H4IL12060,1130
S0SC00149,H6FL13148,1321
S0SC00149,H2IL16107,1177
S0SC00149,H0IN02190,1588
S0SC00149,H0IA04145,675
S0SC00149,H2UT02324,2401
S0SC00149,H0OR02150,249
S0SC00149,S4AK00099,936
S0SC00149,H8GA06286,5379
S0SC00149,H0CA48198,10782
S0SC00149,S4SD00049,4368
S0SC00149,H0WI03175,3045
S0SC00149,H0MN02134,2218
S0SC00149,H0TX11230,463
S0SC00149,H6MI04113,6756
S0SC00149,H0NV04056,829
S0SC00149,H4MN06087,4343
S0SC00149,H0GA06192,1522
S0SC00149,S0KS00257,432
S0SC00149,H2NY14128,138
S0SC00149,H8TX21307,3766
S0SC00149,H4NC10047,438
S0SC00149,H2TX06269,1642
S0SC00149,H0NY27116,8
S0SC00149,H4TX10093,6743
S0SC00149,H0IN05326,2127
S0SC00149,H0OK05205,6458
S0SC00149,H0TX32079,760
S0SC00149,H0FL13133,1944
S0SC00149,H0FL03175,511
S0SC00149,H0MI13471,2000
S0SC00149,S2GA00183,339
S0SC00149,H0MN03124,454
S0SC00149,H6FL01119,1146
S0SC00149,S8WV00143,66
S0SC00149,H0SC03077,898
S0SC00149,S2SD00068,2571
S0SC00149,H0NJ07261,2762
S0SC00149,H0PA06167,75
S0SC00149,H0NY02234,4773
S0SC00149,H0WI07127,1615
S0SC00149,H2OH03067,933
S0SC00149,H0OH03111,9
S0SC00149,H2TX06251,2220
S0SC00149,S0OH00133,2725
S0SC00149,H0KS03244,134
S0SC00149,H0IN08114,1088
S0SC00149,S2NC00489,1853
S0SC00149,S0AR00150,924
S0SC00149,H8MD01094,1194
S0SC00149,S0NH00326,598
S0SC00149,H0VA10160,374
S0SC00149,H8CA10209,200
S0SC00149,H0NH01282,3643
S0SC00149,S0VA00146,2014
S0SC00149,H0IL14197,507
S0SC00149,S4WV00159,5764
S0SC00149,H2OH16069,60
S0SC00149,H2WA03100,268
S0SC00149,H0VA10186,1273
S0SC00149,S8ID00027,1281
S0SC00149,S2AZ00349,241
S0SC00149,S0VA00179,486
S0SC00149,H0CO06119,140
S0SC00149,H2OH16051,2776
S0SC00149,H4GA01039,831
S0SC00149,H4GA11061,1074
S0SC00149,H8VA11070,64
S0SC00149,S2AL00145,16
S0SC00149,H6KY01110,670
S0SC00149,H6WI08155,2652
S0SC00149,H4MI07103,948
S0SC00149,H6MS01131,1651
S0SC00149,H0FL20120,23
S0SC00149,H8AZ01237,760
S0SC00149,S0WY00137,996
S0SC00149,H8WV03097,3532
S0SC00149,H8TX03123,1384
S0SC00149,H0NJ09200,268
S0SC00149,S0ND00093,1576
S0SC00149,H6CA44145,845
S0SC00149,H0AZ01259,188
S0SC00149,H0CA03128,165
S0SC00149,H0NY10112,344
S0SC00149,S8ND00120,1406
S0SC00149,H8FL17053,1196
S0SC00149,H0IL15129,200
S0SC00149,H2TX06343,531
S0SC00149,H0WI07101,812
S0SC00149,H0MI03290,3025
S0SC00149,H0PA03271,532
S0SC00149,H2TX08182,240
S0SC00149,S2WA00387,133
S0SC00149,H0FL10113,151
S0SC00149,H4NE01064,1301
S0SC00149,H0VA09055,176
S0SC00149,H0PA08221,1878
S0SC00149,H8TX27049,127
S0SC00149,H0AL02178,183
S0SC00149,H2IA05072,79
S0SC00149,S2AK00127,1100
S0SC00149,S4PA00121,3106
S0SC00149,H2AZ09142,256
S0SC00149,H4CO04090,282
S0SC00149,H0FL08208,1092
S0SC00149,S2NC00505,845
S0SC00149,H0NV04015,2541
