campaign_id,total_unique_donors
S0SC00149,288323
H0MN07091,11034
H8PA05071,1371
H0TX13228,12413
P80001571,1427267
S0NM00124,7335
S6ME00159,68085
S8AZ00221,157550
S4SC00240,129883
S0GA00526,312042
H6CA22125,142897
H0LA01087,123970
S4GA11285,300053
H0MN05178,92336
H8CA20059,62333
H6AK00045,12804
H0NC11233,41854
S2KY00012,259891
H8NY01148,23447
S4AK00214,618765
H8FL27185,19868
H0SC01394,24597
H4NY21079,119965
S2MT00096,129005
H0PA07132,3685
H0FL13158,25575
H6WY00159,13924
S0KY00156,18155
H4NY22051,38461
S0GA00567,5012
S4CO00395,77231
H6OH04082,89241
H2MO02102,16223
H0IA01174,23983
H8NJ02166,27904
S4NC00162,67245
H0FL26036,9041
H6FL18097,31479
H6NE02125,16011
H4MT00050,10605
H0NY27090,1496
S0MN00328,31934
H8CA39240,46467
H2PA04135,10512
H0VA07158,11862
H6LA03148,5554
H4NC05146,7669
S8MI00372,103931
H2TX06335,2270
H2IL13120,16455
S0FL00338,48723
H2TX33040,480
H0NV03132,17134
H6OH08315,2983
S4IA00129,106632
S2MO00536,6728
S4OR00156,404
S8FL00273,12135
H6CO03139,4570
H8OH15076,2411
H2GA06131,65
S4LA00065,52607
S6IN00191,17363
H0CA43108,47566
H2LA05126,5605
H4IA03115,7114
H0TX15124,3560
H0CA48024,6399
H0TX24209,16053
S8IN00171,2441
S2MO00585,11751
H8SD01055,1384
S2PA00505,31245
H0NC09187,12254
S0TN00144,2907
H0CA25105,30197
H2TX31044,16980
H8KS02199,8170
H2NC08185,8303
H8PA18199,6179
H0MD07197,67347
H2TX26093,815
H0PA08205,908
H2SC02059,6479
S8OH00086,1508
H0CO03165,14822
H0MN01045,14509
H0OR04107,12110
S2MO00593,7540
H2FL14186,10456
S0IA00028,8352
H0VA02118,13831
H4CA45089,4407
H0GA07273,5361
H2OH15137,43
H0TX07170,23233
H0TX35015,8626
H0UT04076,30990
S0UT00165,8203
H8TX02166,35725
H0MS04120,2319
H6MI01226,11724
S0AL00230,14079
H4NY24073,15725
S8MS00196,2300
S4LA00107,12033
S2TX00312,26652
H0WV01072,61
H8TX06266,22365
H0MI08141,10560
H0KY06104,11431
H0NY11078,13218
S6AL00195,2130
H0CA08135,1289
H8FL06148,8094
S4OK00232,1734
H8MS03125,4927
S8TN00337,10084
S0NH00334,2495
H8IA02043,17816
H8VA05171,7350
S8UT00176,2628
H0MI03308,3211
H0IL06060,11954
S4AR00103,46428
S2TX00106,69687
H0WA03187,23983
H8OH01043,13161
H8AZ08158,9434
S4NE00090,4356
H0ME02075,897
H8IL14083,10321
H0NJ02155,1564
H2SC07256,7460
S8MO00160,28768
H4WA05077,11229
H0FL07150,1646
S2PA00489,8208
H6GA03113,3946
H2CA20094,16124
H6TX12060,7499
H0NY14270,10755
S2NC00307,1227
H4MO08162,638
H6PA08277,16110
H8FL15230,5921
H6IN03229,4026
H2GA09150,4352
S4OK00083,5078
H0CA26145,759
H0TX22302,5300
S0WI00197,12584
H2OH02085,5894
H0CT03155,459
H0IL11052,6697
S0KS00091,2690
H0ME02083,3576
H2NY18087,235
H8OH16108,5142
H6TX02079,5425
H0IL17083,8535
H8NM02156,11048
H0TX32087,10872
H0TN01118,1150
H8OH05036,911
S0KS00315,9095
H8VA01147,2509
S8MS00261,8769
S0TN00169,5183
H2SC07223,145
H8KY02031,2324
H0CA28182,8752
H6FL02208,2346
H8SC04250,2457
S6WY00068,4908
H4IL12060,2526
H6FL13148,3088
H2IL16107,3704
H0IN02190,3214
H0IA04145,1889
H2UT02324,5001
H0OR02150,2583
S4AK00099,1497
H8GA06286,11931
H0CA48198,24019
S4SD00049,5048
H0WI03175,8400
H0MN02134,5736
H0TX11230,1466
H6MI04113,16406
H0NV04056,1891
H4MN06087,10040
H0GA06192,8727
S0KS00257,2272
H2NY14128,829
H8TX21307,7674
H4NC10047,1099
H2TX06269,3612
H0NY27116,95
H4TX10093,15518
H0IN05326,5190
H0OK05205,14707
H0TX32079,1939
H0FL13133,4173
H0FL03175,1434
H0MI13471,4365
S2GA00183,707
H0MN03124,3011
H6FL01119,1970
S8WV00143,291
H0SC03077,2052
S2SD00068,3540
H0NJ07261,6588
H0PA06167,571
H0NY02234,10048
H0WI07127,3707
H2OH03067,1822
H0OH03111,63
H2TX06251,4958
S0OH00133,4110
H0KS03244,659
H0IN08114,2422
S2NC00489,4512
S0AR00150,2452
H8MD01094,2594
S0NH00326,2475
H0VA10160,1151
H8CA10209,568
H0NH01282,7712
S0VA00146,7211
H0IL14197,2768
S4WV00159,7505
H2OH16069,95
H2WA03100,2139
H0VA10186,3665
S8ID00027,3008
S2AZ00349,644
S0VA00179,1297
H0CO06119,668
H2OH16051,6649
H4GA01039,2032
H4GA11061,2277
H8VA11070,238
S2AL00145,638
H6KY01110,1515
H6WI08155,5930
H4MI07103,2665
H6MS01131,3703
H0FL20120,191
H8AZ01237,1710
S0WY00137,1529
H8WV03097,7544
H8TX03123,2947
H0NJ09200,884
S0ND00093,1861
H6CA44145,1478
H0AZ01259,1176
H0CA03128,556
H0NY10112,559
S8ND00120,1852
H8FL17053,2816
H0IL15129,669
H2TX06343,1277
H0WI07101,2893
H0MI03290,5291
H0PA03271,1177
H2TX08182,990
S2WA00387,1161
H0FL10113,279
H4NE01064,2655
H0VA09055,411
H0PA08221,4898
H8TX27049,329
H0AL02178,648
H2IA05072,402
S2AK00127,4928
S4PA00121,5556
H2AZ09142,834
H4CO04090,899
H0FL08208,2100
S2NC00505,1661
H0NV04015,4991
S0MO00183,2765
S8ID00092,3135
S8NJ00483,1462
H0IN05250,158
H0NC03149,85
H0KS01198,246
H0TX17195,236
H8TN07076,2949
H0MA04259,22
H0VA07133,1657
H6IL18088,1026
H0CA37167,603
H2AZ01339,322
H0NY19204,321
H0WA08103,928
H0IL01194,66
S0AL00263,106
H0NM02229,824
H2AL05128,105
S2AZ00331,350
H0KS02188,1274
H0TX16106,44
S2GA00175,555
H4WA04104,2702
H0KS03236,1521
H6PR00082,2454
H0NY18172,1691
H0CA15247,90
H8IN06129,3310
H0WI05113,808
S8AL00381,2937
H0MN05251,2846
H8CA49108,1671
H2NM01276,2274
H8MN08043,1969
H8SC05158,556
H8OH12180,810
H8AL02171,272
S0AL00206,860
H0FL07143,324
H8NJ04014,315
H2TX14149,248
H8OK01157,524
H0ME01119,150
H4TX04039,429
H2LA02156,2944
H6LA04138,406
S0MA00232,1408
S2NE00094,2450
H2OK02083,819
H0KS03228,424
H0GA13149,7
H6AL04098,744
H0NY03083,1823
H6FL18121,1145
S2OH00329,138
H0NC03172,1224
H8NY02104,2270
H8PA15260,170
H0NV04080,40
S2OH00360,1229
H0MN02159,58
H0PA12181,404
H0VA03124,153
H0AZ04535,138
H0NY04156,44
H0OH06189,2809
H2SC07066,201
S0VA00104,241
H6PA16320,322
H0NJ07279,1032
H8CA32088,100
H0SD01094,459
H0FL19247,26
H0GA05277,103
H2OH15228,1358
H0FL19213,53
H2NC07096,1154
H0WI03159,552
H0NY29054,707
H0KY05015,41
H2TN05339,447
H0VA05160,344
H8VA06104,350
H0MI11129,2838
H0AL01089,210
H0MI10287,439
S2AZ00356,501
H2MT02050,449
H4AZ06045,541
H0NY19188,154
H8TX02141,110
H8MO09153,1458
H4WI06048,341
H8PA10147,950
H0CA45129,242
H2VA07154,2025
H0OH18077,434
H2CA37023,202
H8ID02064,143
H0IN01234,464
H0MD08203,64
H4MI04126,1356
H0FL19221,1158
S2OH00386,396
H8TX16166,219
H8TX22107,394
H8TX06233,314
H0CA40138,82
H8OH16124,424
S2PA00380,594
H8WI01156,619
H0MA07054,694
H0AZ03461,8
H0MI02094,1364
H2NV03161,492
H0TX16130,18
H0MO06073,383
H8KS04112,2034
H2CA49242,108
H2VA02064,339
H2LA02206,307
H0VA08198,179
H2NJ07192,717
H2GA06123,409
H2TX34113,291
H0AL02145,327
H8TN02119,66
H0MO07113,143
H8NJ02182,49
H4AR04048,477
H0MA05132,460
H0MI06178,44
H0UT01171,106
H0GA14113,76
H0OR02168,273
H0MN04197,239
H6AZ09010,60
H0VA07125,439
H4AR02141,1193
H2CA45125,138
H0UT04050,83
H0PA05094,194
H0NY11094,300
H2OH15145,78
H0NY20111,659
H0NJ05174,378
H0OK05247,396
H0NV04106,160
H0MN07109,30
H0NJ03211,229
H0NY27108,219
H0FL23116,8
H2OH14064,549
H4NJ01118,123
H0OK05213,339
S2PA00471,344
S0KS00299,194
H2CA22199,158
H0MI05162,57
H2OH15160,141
H0OR01194,5
H0FL15104,698
H0TX24233,66
S2OH00170,18
H4WV02080,600
H0TX13111,125
H8CA04152,619
H2CA01177,447
S0KS00349,96
H0TX32053,347
H0FL09115,145
H0MN02142,118
H0IN05243,274
H0MI10295,430
H0FL24205,464
H2TX08133,112
H0KS01123,362
H0TN01225,130
H0IN05268,180
H0FL19171,145
H0VA11127,423
H0UT01205,258
H0TX17161,90
H0NM01197,91
