campaign_id,total_unique_donors
P80001571,1964736
S0SC00149,587803
H6NE02125,22748
H0MN05178,116443
H0IL06060,18417
H0TX13228,38501
H0LA01087,124715
H0KY06104,14251
S0GA00526,459581
S4IA00129,157965
S8MI00372,192822
S4AK00214,814043
H6WY00159,15028
H6CA22125,181044
S4GA11285,452591
H6PA08277,27279
H8FL27185,35289
H8OH01043,19258
H0MD07197,91273
S8AZ00221,251268
H0NC11233,58033
H0PA07132,5875
H8CA20059,74039
S6WY00068,8630
H6FL18097,44927
H0CA48024,8668
H0WA03187,36151
S4SC00240,200365
S6ME00159,94867
H4NY24073,20478
S2KY00012,338614
H4NY22051,48914
S4NC00162,98521
H0VA07158,19293
H0AZ07082,302
H0NH01282,19484
S0FL00338,96341
S2MT00096,187527
H2NC08185,20098
H0CA43108,71478
H0WI07127,3707
S8TN00337,13865
H4TX10093,17663
H0IA01174,36380
H8NJ02166,36906
H6OH04082,103352
H2NY18087,556
H8PA18199,7356
S4AR00103,58510
H0CO03165,29009
H0CA48198,37972
H4MI07103,7727
S4LA00065,89918
H4NY21079,153518
H0MN07091,15075
H0OK05205,24172
H8NM02156,23608
H2SC07256,14953
S0KY00156,56292
H2IL13120,28167
H0MI03290,5291
H8FL15230,5933
H0NY03083,12232
H0UT04076,44187
S2PA00505,50814
S4CO00395,101569
H0MI08141,11926
H0GA07273,11997
H0FL26036,17615
H8TX02166,45844
H0IN02190,4335
H8CA49108,3828
H0FL09115,995
S2TX00106,88943
H6MI04113,19283
H0CA25105,50574
H8MS03125,5608
S2GA00225,64238
S0UT00165,13470
S8MO00160,36675
S2MO00585,14099
H0TX24209,28789
S0NM00124,9283
S2AK00127,7103
H0NY02200,67
S8ID00092,6889
S2MO00544,1119
H2MO04140,5303
H0TX32053,383
S0MN00328,44345
S0AL00230,21458
H8TX06266,46883
S0KS00315,13457
H2PA04135,17138
H0SC01394,38235
H8IA02043,30317
H2VA02064,1075
S2PA00380,912
H4MN06087,13042
H0IA04145,5875
H0TN01118,3559
H0NY02234,23519
S0WI00197,21603
H0MN01045,29723
H0PA08221,12260
H2OH16051,7927
H8OH16108,8751
S2AZ00356,10375
H4GA01039,3249
H6IN03229,6383
H0WI03175,28860
H0GA06192,10342
H0FL24205,1737
H2TX31044,20324
S0NH00334,3567
H2FL14186,20842
H0MN02134,9127
S0AR00150,4492
H0NV04015,8602
H2TX08182,14799
S2TX00312,39934
H6FL13148,3694
H8OH15076,2412
H2CA49242,386
S0KS00257,2272
H2OK02083,938
H2NY14094,3677
H8PA10147,1025
H0FL03175,4418
H0NC09187,13043
S0NH00326,4153
H2GA12121,1088
H0OR02150,2583
H6TX12060,8392
S0IA00028,16630
S2MO00593,8676
H0IL11052,9358
H8CA39240,67260
H0RI02287,209
H8NY01148,31594
H2LA05126,5972
S0AL00206,860
H0NY14270,10755
H2MO02102,25750
H0MT01098,7
H0IL17083,13000
H0NV03132,24714
S2NC00505,7580
S4SD00049,6894
H0OR04107,21474
S8MS00261,14340
H0NY18172,2056
H8IL14083,21194
H0TX35015,19021
H6FL01119,5869
H4IA03115,9524
H0VA02118,16222
H4TX04153,401
S2NC00489,7080
H4CO04090,1759
H0TX07170,43526
H2MN05166,8127
H2TX08166,101
S8FL00273,22129
S2NE00094,6954
H2AZ01339,2272
H0AL01055,2339
H2CA16134,306
S0TN00169,12428
H2UT02324,6159
H2GA10125,227
H6PR00082,5901
S4AK00099,3953
H8FL06148,12078
H6MI01226,14034
H2IL16107,5886
H0FL13158,39067
S4OK00083,9681
H0IL15129,3529
H8TX21307,13173
S4WV00159,10080
H2CA20094,27139
H2AZ09142,2662
H6TX02079,6443
H8AZ08158,11352
S2AZ00372,5014
H0MN03124,5031
H0KS01123,2227
S4LA00107,15934
H0NY14247,2
H0NJ07261,9223
H2GA09150,4352
H0TX11230,5594
H0FL15104,5350
H8KS04112,3291
H6LA03148,6587
H8MO09153,6798
H0SC03077,4546
H0WV01072,466
H6OH08315,3230
S2MO00536,17162
H0NY11078,21877
H2VA10182,1786
H2VA07154,7002
H8MD01094,2791
H0WI07101,4359
H0FL13133,4623
H0TX22302,10533
H0MO07113,1288
H0TX15124,9141
H0MN05251,2846
H6CO03139,4572
S0VA00179,1297
H2MI07123,5134
S4NE00090,6318
S8ID00027,7035
H4NE01064,4395
H0KS02188,4968
H8VA05171,7353
H6AK00045,15406
H2VA07170,4490
H4IL12060,3890
H4MT00050,17455
H4NC05146,8593
H0MI03308,8450
H8VA01147,7298
S0VA00146,10201
H2MN03104,278
H2OH02085,6946
H2TX06343,1278
H0ME01119,171
S6IN00191,23597
S2AR00107,547
S0OH00133,5505
H0ME02083,6006
H0TX32087,13413
H0IN05326,10904
H0AZ01259,1625
H2OH15228,4458
H8NY02104,2270
H4WA04104,4145
H0VA10186,5320
H2SC02059,9211
H0VA07133,1665
H2TX06251,5511
S2OH00170,859
S0MA00232,1882
H2AR03275,285
H0NJ02155,2944
H8GA06286,14146
H2TX06269,3612
S0KS00091,3977
H4AR02141,2296
H8OH12180,1039
S8AL00381,5237
H0CA28182,10553
H0MI13471,4782
H8WI02121,44
H2NH01270,2236
H4NC10047,1294
H6WI08155,8174
H0WA08103,3179
H8MN08043,2325
H8KS02199,8172
H0TX23268,111
H0TX04219,2665
H2FL07156,479
S8OH00086,3566
S8IN00171,3435
H2NM01276,2274
H0FL19221,1158
H0CA08135,3357
S2NV00324,4825
S0ND00093,2696
H6FL02208,2439
H4WI06048,540
H0MI11129,4151
H0PA12181,902
H8SC04250,2527
H6FL09070,690
S4OK00232,3267
H2NY14128,1669
S0GA00567,5453
H8TN07076,3484
S8MS00196,3175
H0PA06167,671
H2OH09155,168
H2WA03100,3310
H0CA15247,116
H0CA37167,744
H6LA04138,896
H0FL03159,398
S2PA00489,10124
H0MO06073,611
H0PA08205,908
H4WA05077,12961
H0OR02127,1425
H0MS04120,2362
S2PA00638,4807
S2NV00308,6732
H8OK01157,626
H8WV03097,8468
H0IL14197,2768
H0WI05113,3081
H0NJ05174,488
H0NH01290,103
H0TX22310,168
H0NJ09200,2152
S0WY00137,3090
H6FL18121,1427
H2LA02156,2948
H4CA45089,7939
H6MS01131,4942
S2OH00436,1720
H2NV04102,54
S2AZ00349,1269
H8WI01156,1071
S8UT00176,3097
H0NY27132,85
H2AZ01354,7717
H4GA11061,2289
H0LA05120,435
H0MI10287,4397
S2AL00145,2044
H0OH06189,2852
H0KS03236,3185
H0KS03244,659
H8AZ01237,3169
H0FL13141,42
H0FL08208,3097
H2GA14093,235
H2CA45125,616
H8IN06129,3528
H0NY29054,813
H2NJ07192,1018
S2WA00387,3309
H0CA26145,1423
H0FL04140,1133
H8AL02171,2814
H8KY02031,2377
H8TX03123,5424
S6AL00195,2130
H8SD01055,1495
H2GA06172,1203
H2AZ02360,489
H2OH03067,2320
H0NY27090,2350
H2CO08095,71
H2MS04266,11
H2NV03161,3128
H8VA11070,238
H2OH15160,1500
S2SD00068,5111
H0UT01205,2312
H0IN08114,2475
H2CA01177,2597
H2TX26093,998
H8FL17053,3292
S2OH00386,909
H2MT02050,2356
H0NC02158,123
S4PA00121,5713
S8ND00120,2560
H2TX08208,48
H2IA03119,1394
H2FL07180,94
H4AR04048,2071
H6IL18088,1365
H4WV02080,1516
H2WY00166,2437
S0TN00144,2907
H0NV04106,160
H4ME02234,1167
H2PA05074,151
H0TX32079,1939
H2MO07143,640
H2TX06335,2270
H0NC07124,114
H6AL04098,764
H0FL07150,1646
H0AL02178,648
S2GA00175,1197
H0NY19188,154
S0MO00183,3773
H0CA03128,1745
H4TX04039,611
S2AZ00331,771
H2OH07175,67
H0KS03228,424
H0NV04056,1891
H0OK05247,396
S8WV00143,590
H2SC07066,261
H0MI10295,430
H0VA11127,576
H0OR02168,287
H2FL21090,2670
H6GA03113,4608
H0NJ03211,229
S2OK00111,944
H2NY01158,722
H0WI03159,552
H2NJ05311,1438
S8NJ00483,1462
H4MI04126,1604
P60005915,189
H2CT02161,87
H6IN09176,71
S2AL00202,918
H0VA05160,1170
S2GA00183,975
H0CT03155,626
H0VA04064,247
H4MO08162,1707
H2OH14064,646
H8CA10209,601
H2MT02084,455
H2CA45158,1735
H2TX03282,89
H6KY01110,1549
H2IA05072,404
H0FL22100,430
H8ND00096,519
H2TX32109,1025
H6CA44145,1657
S2OH00360,1866
H2AZ09175,1475
H8CA04152,733
H0FL19189,185
H8TX22107,394
H0NY19204,405
H0FL22084,452
H0CA15262,36
H2CA22199,258
H0VA08198,269
H0ME02075,897
H8DE01044,333
H0CA40138,203
H0NM02229,824
H8CA28185,231
S2NC00588,449
H0IN01234,464
H0TX11248,30
H0SD01094,459
H0MD06231,296
H0AL02145,327
H2TX33040,833
H2IL06090,13
H0NC03172,1770
H0TN01225,130
H0AZ03461,16
H0MA07054,794
H2FL23104,14
H8WI04069,42
H2AZ09167,85
H0NY02267,177
H2AZ06247,133
H0VA07125,439
S2NC00307,1682
H2CA37023,371
H2VA07162,414
S2ID00111,24
H8PA05071,1773
H0PA03271,1256
H2TN05339,1505
S0KS00299,194
H0MI08125,208
H2WA08208,272
H0VA09055,611
H2NH02245,79
H2IA03101,304
H8VA06104,555
H8NJ04014,525
H2TX28123,64
H6VA08211,1
H2OH09163,362
H8TX29110,124
H2WA08182,382
H0TX16106,852
H2FL07164,241
H2FL21082,95
H2LA02206,308
H0MI05162,65
S2MD00552,805
H8CA32088,128
S4OR00156,639
H6NE03115,365
H0IN05243,274
H2CT05222,678
H2KY04196,164
H2RI01202,269
H0VA10160,1151
H0CA16120,90
H0PA18113,48
H2FL14277,61
H0CA48156,165
H0MN04197,239
S2PA00554,460
H0TX28069,161
H0FL10113,828
H2NC07096,1610
H0AZ02265,55
H0TX17195,236
H0NY04156,103
H2WA04165,170
H2TN07103,386
H2SC07223,147
H2VA10216,208
H0UT04092,29
H0KS01198,246
H6AZ05083,586
H0TX13111,125
H0OK05213,339
S2GA00209,628
H8SC05158,789
H2GA10158,156
H2TX18207,118
S2CO00209,668
H0OH18077,440
H0NV04031,46
H6PA16320,399
H2IN08151,12
H0PA08197,233
S2PA00471,344
H0NY11094,300
H0FL03225,1
H0VA07109,412
H2TX06228,161
H0MI02094,1529
H0FL07143,1044
H0GA05277,208
H2PA17111,51
H2GA10216,332
H0PA05094,268
H2NV04094,1632
H2TX14149,411
H8TX27049,463
H2FL14251,691
H0TN04195,54
S4NJ00250,40
H2NC05157,299
H6AZ09010,286
H0HI01298,48
H0WI02078,13
H8TN02119,176
S0KS00349,96
H0KY05015,70
H2NH01288,455
H0MA05132,566
H2OH01186,35
H0NY20111,1190
H2ME01131,221
H2MD03184,47
H2GA10257,75
H2NV03195,114
H2TX08133,184
H2NJ11137,353
H0CO06119,824
H8ID02064,275
H2OH16069,95
H2CA26133,110
H0NC03149,154
S2CO00225,271
H0IL15186,53
S8CA00515,109
H2CA52154,127
H2AZ09183,89
H2MA09221,49
H8OH16124,436
S0VA00104,241
S0IL00543,393
H4AZ06045,979
H0NC11258,234
H2TX20096,39
H0UT01171,106
H8TX05144,127
H2FL11117,218
H0AL01089,210
H2NY23145,61
H2NY04160,25
H0WA06081,32
H2FL12099,1
H2MT00112,77
H0NJ07279,1340
H0NY14296,483
H0FL19171,145
H0NM01197,91
H2GA10182,113
H2NJ12127,185
H2OH15145,142
H2NY25082,86
H2GA06198,150
H2NJ04199,17
H0NY17208,74
H2GA06156,54
H0FL19247,26
H0NY27108,219
H2FL13279,274
H2NY03139,112
H0WA02197,110
