linenumber,fec_committee_id,transaction_id,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,date,amount,purpose,memo_code,memo_text,cycle
SB21B,C00618371,SB21B.4194,ORG,"SALESFORCE.COM, INC",,,,,,415 MISSION STREET,3RD FLOOR,SAN FRANCISCO,CA,94105,,2021-10-26,2651433.12,EMAIL SERVICES,,,2022
SB22,C00618371,SB22.4188,COM,REPUBLICAN NATIONAL COMMITTEE,,,,,,310 FIRST STREET SE,,WASHINGTON,DC,20003,,2021-10-08,1011229.28,TRANSFER OF NET PROCEEDS - GENERAL OPERATING,,,2022
SB22,C00618371,SB22.4189,COM,REPUBLICAN NATIONAL COMMITTEE,,,,,,310 FIRST STREET SE,,WASHINGTON,DC,20003,,2021-10-29,250837.78,TRANSFER OF NET PROCEEDS - GENERAL OPERATING,,,2022
SB22,C00618371,SB22.4190,COM,REPUBLICAN NATIONAL COMMITTEE,,,,,,310 FIRST STREET SE,,WASHINGTON,DC,20003,,2021-12-29,250780.89,TRANSFER OF NET PROCEEDS - GENERAL OPERATING,,,2022
SB21B,C00618371,SB21B.4177,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-09-15,100000.0,COMPLIANCE CONSULTING,,,2022
SB21B,C00618371,SB21B.4174,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-08-24,100000.0,COMPLIANCE CONSULTING,,,2022
SB21B,C00618371,SB21B.4185,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-12-03,100000.0,COMPLIANCE CONSULTING,,,2022
SB21B,C00618371,SB21B.4184,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-12-03,100000.0,COMPLIANCE CONSULTING,,,2022
SB21B,C00618371,SB21B.4171,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-07-19,100000.0,COMPLIANCE CONSULTING,,,2022
SB21B,C00618371,SB21B.4180,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-10-20,100000.0,COMPLIANCE CONSULTING,,,2022
SB21B,C00618371,SB21B.4131,ORG,ACE SPECIALTIES LLC,,,,,,520 BEAU PRE ROAD,,LAFAYETTE,LA,70508,,2021-12-28,49654.0,COLLATERAL: STORAGE/REMOVING,,,2022
SB21B,C00618371,SB21B.4316,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-07-19,44673.0,DATA PROCESSING SERVICES,,,2022
SB21B,C00618371,SB21B.4136,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,2021-08-03,33460.35,DATA MANAGEMENT SERVICES,,,2022
SB21B,C00618371,SB21B.4314,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,2021-07-06,26273.7,DATA MANAGEMENT SERVICES,,,2022
SB21B,C00618371,SB21B.4183,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-12-03,25000.0,COMPLIANCE SOFTWARE,,,2022
SB21B,C00618371,SB21B.4176,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-09-15,25000.0,COMPLIANCE SOFTWARE,,,2022
SB21B,C00618371,SB21B.4175,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-08-24,25000.0,COMPLIANCE SOFTWARE,,,2022
SB21B,C00618371,SB21B.4179,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-10-20,25000.0,COMPLIANCE SOFTWARE,,,2022
SB21B,C00618371,SB21B.4186,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-12-03,25000.0,COMPLIANCE SOFTWARE,,,2022
SB21B,C00618371,SB21B.4169,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-07-19,25000.0,COMPLIANCE SOFTWARE,,,2022
SB21B,C00618371,SB21B.4297,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,2021-07-12,17492.24,MERCHANT FEES,,,2022
SB21B,C00618371,SB21B.4295,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,2021-07-01,11735.38,MERCHANT FEES,,,2022
SB21B,C00618371,SB21B.4173,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-08-24,10574.76,DATA PROCESSING SERVICES,,,2022
SB21B,C00618371,SB21B.4137,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,2021-09-08,7500.0,DATA MANAGEMENT SERVICES,,,2022
SB21B,C00618371,SB21B.4138,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,2021-10-05,7500.0,DATA MANAGEMENT SERVICES,,,2022
SB21B,C00618371,SB21B.4139,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,2021-11-05,7500.0,DATA MANAGEMENT SERVICES,,,2022
SB21B,C00618371,SB21B.4140,ORG,CMDI,,,,,,1593 SPRING HILL ROAD,SUITE 400,TYSONS CORNER,VA,22182,,2021-12-08,7500.0,DATA MANAGEMENT SERVICES,,,2022
SB21B,C00618371,SB21B.4298,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,2021-08-05,7180.05,MERCHANT FEES,,,2022
SB21B,C00618371,SB21B.4296,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,2021-07-02,4842.93,MERCHANT FEES,,,2022
SB21B,C00618371,SB21B.4299,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,2021-08-25,3082.5,MERCHANT FEES,,,2022
SB28A,C00618371,SB28A.4303,IND,,WEBB,SAM,,MRS.,,25217 MANZANITA LN,,DESCANSO,CA,91916,,2021-07-15,2538.49,CONTRIBUTION REFUND,,,2022
SB28C,C00618371,SB28C.4192,PAC,ROBERTSON COUNTY REPUBLICAN PARTY PAC,,,,,,PO BOX 182,,SPRINGFIELD,TN,37172,,2021-07-10,1000.0,CONTRIBUTION REFUND,,,2022
SB21B,C00618371,SB21B.4178,ORG,RED CURVE SOLUTIONS,,,,,,138 CONANT STREET,2ND FLOOR,BEVERLY,MA,01915,,2021-09-16,851.4,DATA PROCESSING SERVICES,,,2022
SB21B,C00618371,SB21B.4245,ORG,STRIPE,,,,,,3180 18TH ST,,SAN FRANCISCO,CA,94110,,2021-10-12,750.5,MERCHANT FEES,,,2022
SB21B,C00618371,SB21B.4167,ORG,JONES DAY,,,,,,51 LOUISIANA AVENUE NW,,WASHINGTON,DC,200012113,,2021-08-24,742.5,LEGAL CONSULTING,,,2022
SB21B,C00618371,SB21B.4301,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,2021-11-26,705.0,MERCHANT FEES,,,2022
SB21B,C00618371,SB21B.4198,ORG,STRIPE,,,,,,3180 18TH ST,,SAN FRANCISCO,CA,94110,,2021-07-06,634.87,MERCHANT FEES,,,2022
SB21B,C00618371,SB21B.4228,ORG,STRIPE,,,,,,3180 18TH ST,,SAN FRANCISCO,CA,94110,,2021-09-07,576.75,MERCHANT FEES,,,2022
SB21B,C00618371,SB21B.4300,ORG,WINRED TECHNICAL SERVICES LLC,,,,,,1776 WILSON BLVD,SUITE 530,ARLINGTON,VA,22219,,2021-09-09,497.4,MERCHANT FEES,,,2022
SB21B,C00618371,SB21B.4282,ORG,STRIPE,,,,,,3180 18TH ST,,SAN FRANCISCO,CA,94110,,2021-12-15,425.0,MERCHANT FEES,,,2022
SB21B,C00618371,SB21B.4238,ORG,STRIPE,,,,,,3180 18TH ST,,SAN FRANCISCO,CA,94110,,2021-09-27,415.5,MERCHANT FEES,,,2022
SB21B,C00618371,SB21B.4237,ORG,STRIPE,,,,,,3180 18TH ST,,SAN FRANCISCO,CA,94110,,2021-09-23,409.25,MERCHANT FEES,,,2022
SB21B,C00618371,SB21B.4265,ORG,STRIPE,,,,,,3180 18TH ST,,SAN FRANCISCO,CA,94110,,2021-11-12,407.5,MERCHANT FEES,,,2022
SB21B,C00618371,SB21B.4202,ORG,STRIPE,,,,,,3180 18TH ST,,SAN FRANCISCO,CA,94110,,2021-07-12,396.98,MERCHANT FEES,,,2022
SB21B,C00618371,SB21B.4205,ORG,STRIPE,,,,,,3180 18TH ST,,SAN FRANCISCO,CA,94110,,2021-07-19,396.75,MERCHANT FEES,,,2022
SB21B,C00618371,SB21B.4230,ORG,STRIPE,,,,,,3180 18TH ST,,SAN FRANCISCO,CA,94110,,2021-09-13,384.0,MERCHANT FEES,,,2022
