linenumber,fec_committee_id,transaction_id,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,date,amount,purpose,memo_code,memo_text,cycle
SB29,C00762591,SB29.4335,ORG,CONSERVATIVE PARTNERSHIP INSTITUTE,,,,,,300 INDEPENDENCE AVE SE,,WASHINGTON,DC,20003,,2021-07-26,1000000.0,CHARITABLE CONTRIBUTION,,,2022
SB21B,C00762591,SB21B.4374,ORG,"EVENT STRATEGIES, INC.",,,,,,510 KING STREET,SUITE 410,ALEXANDRIA,VA,22314,,2021-08-13,297551.98,EVENT STAGING EXPENSE & TRAVEL EXPENSES,,,2022
SB21B,C00762591,SB21B.4379,ORG,"EVENT STRATEGIES, INC.",,,,,,510 KING STREET,SUITE 410,ALEXANDRIA,VA,22314,,2021-10-21,265409.81,AUDIO VISUAL SERVICES & EVENT STAGING EXPENSE,,,2022
SB21B,C00762591,SB21B.4378,ORG,"EVENT STRATEGIES, INC.",,,,,,510 KING STREET,SUITE 410,ALEXANDRIA,VA,22314,,2021-10-08,262949.46,AUDIO VISUAL SERVICES & EVENT STAGING EXPENSE,,,2022
SB21B,C00762591,SB21B.4376,ORG,"EVENT STRATEGIES, INC.",,,,,,510 KING STREET,SUITE 410,ALEXANDRIA,VA,22314,,2021-09-22,260292.12,AUDIO VISUAL SERVICES & EVENT STAGING EXPENSE,,,2022
SB21B,C00762591,SB21B.4268,ORG,AMERICAN EXPRESS,,,,,,200 VESEY ST,,NEW YORK,NY,10285,,2021-09-30,190407.46,CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED,,,2022
SB21B,C00762591,SB21B.4270,ORG,AMERICAN EXPRESS,,,,,,200 VESEY ST,,NEW YORK,NY,10285,,2021-10-22,172558.2,CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED,,,2022
SB21B,C00762591,SB21B.4277,ORG,AMERICAN EXPRESS,,,,,,200 VESEY ST,,NEW YORK,NY,10285,,2021-12-03,138420.59,CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED,,,2022
SB21B,C00762591,SB21B.4269,ORG,AMERICAN EXPRESS,,,,,,200 VESEY ST,,NEW YORK,NY,10285,,2021-10-14,118408.36,CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED,,,2022
SB21B,C00762591,SB21B.4371,ORG,"EVENT STRATEGIES, INC.",,,,,,510 KING STREET,SUITE 410,ALEXANDRIA,VA,22314,,2021-07-22,110735.52,"AUDIO VISUAL SERVICES, EVENT STAGING EXPENSE, & TRAVEL EXPENSES",,,2022
SB21B,C00762591,SB21B.4275,ORG,AMERICAN EXPRESS,,,,,,200 VESEY ST,,NEW YORK,NY,10285,,2021-11-19,110002.74,CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED,,,2022
SB21B,C00762591,SB21B.4372,ORG,"EVENT STRATEGIES, INC.",,,,,,510 KING STREET,SUITE 410,ALEXANDRIA,VA,22314,,2021-08-04,108393.6,AUDIO VISUAL SERVICES & EVENT STAGING EXPENSE,,,2022
SB21B,C00762591,SB21B.4271,ORG,AMERICAN EXPRESS,,,,,,200 VESEY ST,,NEW YORK,NY,10285,,2021-11-01,103358.31,CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED,,,2022
SB21B,C00762591,SB21B.4274,ORG,AMERICAN EXPRESS,,,,,,200 VESEY ST,,NEW YORK,NY,10285,,2021-11-12,101538.33,CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED,,,2022
SB21B,C00762591,SB21B.4272,ORG,AMERICAN EXPRESS,,,,,,200 VESEY ST,,NEW YORK,NY,10285,,2021-11-08,96533.78,CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED,,,2022
SB21B,C00762591,SB21B.4278,ORG,AMERICAN EXPRESS,,,,,,200 VESEY ST,,NEW YORK,NY,10285,,2021-12-16,96051.72,CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED,,,2022
SB21B,C00762591,SB21B.4646,ORG,TRUMP HOTEL COLLECTION,,,,,,725 5TH AVENUE,,NEW YORK,NY,10022,,2021-12-10,94642.18,FACILITY RENTAL & CATERING SERVICES,,,2022
SB21B,C00762591,SB21B.4377,ORG,"EVENT STRATEGIES, INC.",,,,,,510 KING STREET,SUITE 410,ALEXANDRIA,VA,22314,,2021-09-29,92171.2,AUDIO VISUAL SERVICES & EVENT STAGING EXPENSE,,,2022
