linenumber,fec_committee_id,transaction_id,,,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,,date,amount,,purpose,memo_code,memo_text,cycle
"SB21B","C00762591","SB21B.4252","","","ORG","ABEL BEAN LAW P.A.","","","","","","100 N. LAURA STREET","SUITE 501","JACKSONVILLE,","FL","32202","","","20211222","29500.00","","LEGAL CONSULTING","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.5149","","","ORG","ACE SPECIALTIES, LLC","","","","","","PO BOX 80427","","LAFAYETTE","LA","70598","","","20210706","11768.45","","COLLATERAL: FREIGHT, SIGNS, & CAPS","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.4255","","","ORG","ACE SPECIALTIES, LLC","","","","","","PO BOX 80427","","LAFAYETTE","LA","70598","","","20210714","4372.67","","COLLATERAL: SIGNS, CAPS AND FREIGHT","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.4256","","","ORG","ACE SPECIALTIES, LLC","","","","","","PO BOX 80427","","LAFAYETTE","LA","70598","","","20210910","6939.54","","COLLATERAL: SIGNS, CAPS AND FREIGHT","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.4257","","","ORG","ACE SPECIALTIES, LLC","","","","","","PO BOX 80427","","LAFAYETTE","LA","70598","","","20210929","11060.92","","COLLATERAL: SIGNS, CAPS AND FREIGHT","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.4258","","","ORG","ACE SPECIALTIES, LLC","","","","","","PO BOX 80427","","LAFAYETTE","LA","70598","","","20211124","562.58","","COLLATERAL: CAPS & FREIGHT","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.4260","","","ORG","ACUMEN SOLUTIONS GROUP LLC","","","","","","600 BROADHOLLOW ROAD SUITE 200","","MELVILLE","NY","11747","","","20210805","500.00","","INSURANCE","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.4261","","","ORG","ACUMEN SOLUTIONS GROUP LLC","","","","","","600 BROADHOLLOW ROAD SUITE 200","","MELVILLE","NY","11747","","","20210915","500.00","","INSURANCE","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.4262","","","ORG","ACUMEN SOLUTIONS GROUP LLC","","","","","","600 BROADHOLLOW ROAD SUITE 200","","MELVILLE","NY","11747","","","20210916","500.00","","INSURANCE","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.4263","","","ORG","ACUMEN SOLUTIONS GROUP LLC","","","","","","600 BROADHOLLOW ROAD SUITE 200","","MELVILLE","NY","11747","","","20211228","1261.25","","INSURANCE","","","","","","","","","","","","","","","","","","","","",""
"SB21B","C00762591","SB21B.5166","","","ORG","ADOBE","","","","","","151 S ALMADEN BLVD","","SAN JOSE","CA","95838","","","20210623","18.05","","AMEX PMT [SB21B.4265]: SOFTWARE","","","","","","","","","","","","","","","","","","","X","",""
