linenumber,fec_committee_id,transaction_id,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,date,amount,purpose,memo_code,memo_text,cycle
SB21B,C00771477,SB21B.4228,PAC,"AMERICA FIRST ACTION, INC.",,,,,,1900 CAMPUS COMMONS DR.,SUITE 100,RESTON,VA,20191,,2021-05-31,35962.3,IN-KIND: LIST RENTAL,,,2022
SB21B,C00771477,SB21B.4116,ORG,"EVENT STRATEGIES, INC.",,,,,,520 KING ST,STE 410,ALEXANDRIA,VA,22314,,2021-05-28,31949.13,EVENT STAGING EXPENSE,,,2022
SB21B,C00771477,SB21B.4126,ORG,"MICROTARGETED MEDIA, LLC",,,,,,"P.O. BOX 51963 SARASOTA, FLORIDA 3",,SARASOTA,FL,34232,,2021-05-18,25500.0,DIGITAL CONSULTANT,,,2022
SB21B,C00771477,SB21B.4132,ORG,"TRUMP NATIONAL GOLF CLUB, BEDMINSTER",,,,,,900 LAMINGTON ROAD,,BEDMINSTER,NJ,07921,,2021-06-28,21810.47,EVENT EXPENSE: FACILITY RENTAL AND CATERING SERVICES,,,2022
SB21B,C00771477,SB21B.4117,ORG,"EVENT STRATEGIES, INC.",,,,,,520 KING ST,STE 410,ALEXANDRIA,VA,22314,,2021-06-28,12672.94,EVENT STAGING EXPENSE,,,2022
SB21B,C00771477,SB21B.4130,ORG,"THREE ARBOR INSURANCE, INC.",,,,,,2828 OLD 280 COURT,STE 126,VESTAVIA,AL,35243,,2021-05-18,11652.0,INSURANCE,,,2022
SB21B,C00771477,SB21B.4218,IND,,CAFARO,JOHN,J,,,6874 STRIMBU DR,,BROOKFIELD,OH,44403,,2021-06-26,8298.0,IN-KIND: TRAVEL: AIR,,,2022
SB21B,C00771477,SB21B.4124,IND,,O'ROURKE,MEREDITH,,,,7222 ANHINGA FARMS ROAD,,TALLAHASSEE,FL,32309,,2021-05-28,8068.71,REIMBURSEMENT: SEE MEMO ENTRIES IF REQUIRED,,,2022
SB21B,C00771477,SB21B.4120,ORG,JBEST & COMPANY,,,,,,11235 DAVENPORT ST,STE 107,OMAHA,NE,68154,,2021-06-04,2025.8,FUNDRAISING CONSULTING EXPENSES: TRAVEL: AIR,,,2022
SB21B,C00771477,SB21B.4102,ORG,ANEDOT,,,,,,1340 POYDRAS STREET SUITE 1770,,NEW ORLEANS,LA,70112,,2021-06-02,2000.9,MERCHANT FEES,,,2022
SB21B,C00771477,SB21B.4220,PAC,"AMERICA FIRST ACTION, INC.",,,,,,1900 CAMPUS COMMONS DR.,SUITE 100,RESTON,VA,20191,,2021-04-30,1798.8,IN-KIND: BOOKS,,,2022
SB21B,C00771477,SB21B.4107,ORG,ANEDOT,,,,,,1340 POYDRAS STREET SUITE 1770,,NEW ORLEANS,LA,70112,,2021-06-21,1600.9,MERCHANT FEES,,,2022
SB21B,C00771477,SB21B.4105,ORG,ANEDOT,,,,,,1340 POYDRAS STREET SUITE 1770,,NEW ORLEANS,LA,70112,,2021-06-11,1600.6,MERCHANT FEES,,,2022
SB21B,C00771477,SB21B.4106,ORG,ANEDOT,,,,,,1340 POYDRAS STREET SUITE 1770,,NEW ORLEANS,LA,70112,,2021-06-12,1000.3,MERCHANT FEES,,,2022
SB21B,C00771477,SB21B.4128,IND,,BONDI,PAM,,,,901 SOUTH ROME AVE,,TAMPA,FL,33606,,2021-06-28,944.8,REIMBURSEMENT: SEE MEMO ENTRIES IF REQUIRED,,,2022
SB21B,C00771477,SB21B.4122,ORG,LORAIN COUNTY FAIR,,,,,,LORAIN CO. FAIRGROUNDS,2300 FAIRGROUNDS ROAD,WELLINGTON,OH,44090,,2021-06-21,350.0,EVENT EXPENSE: FACILITY RENTAL,,,2022
SB21B,C00771477,SB21B.4103,ORG,ANEDOT,,,,,,1340 POYDRAS STREET SUITE 1770,,NEW ORLEANS,LA,70112,,2021-06-03,200.6,MERCHANT FEES,,,2022
SB21B,C00771477,SB21B.4104,ORG,ANEDOT,,,,,,1340 POYDRAS STREET SUITE 1770,,NEW ORLEANS,LA,70112,,2021-06-07,200.6,MERCHANT FEES,,,2022
SB21B,C00771477,SB21B.4224,PAC,"AMERICA FIRST ACTION, INC.",,,,,,1900 CAMPUS COMMONS DR.,SUITE 100,RESTON,VA,20191,,2021-04-30,141.0,IN-KIND: SHIPPING EXPENSES,,,2022
