linenumber,fec_committee_id,transaction_id,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,date,amount,purpose,memo_code,memo_text,cycle
SB21B,C00771477,SB21B.4293,ORG,FORWARD STRATEGIES,,,,,,7222 ANHINGA FARMS RD,,TALLAHASSEE,FL,32309,,2021-07-15,128125.0,FUNDRAISING CONSULTING,,,2022
SB21B,C00771477,SB21B.4298,ORG,MICRO TARGETED MEDIA LLC,,,,,,PO BOX 51963,,SARASOTA,FL,34232,,2021-08-05,45639.84,SMS TEXT MESSAGES,,,2022
SB21B,C00771477,SB21B.4294,ORG,JBEST & COMPANY,,,,,,11235 DAVENPORT ST,STE 107,OMAHA,NE,68154,,2021-07-12,40125.0,FUNDRAISING CONSULTING,,,2022
SB21B,C00771477,SB21B.4290,ORG,"EVENT STRATEGIES, INC.",,,,,,520 KING ST,STE 410,ALEXANDRIA,VA,22314,,2021-08-13,31357.52,EVENT STAGING EXPENSE,,,2022
SB21B,C00771477,SB21B.4291,ORG,"EVENT STRATEGIES, INC.",,,,,,520 KING ST,STE 410,ALEXANDRIA,VA,22314,,2021-07-14,13386.28,EVENT STAGING EXPENSE,,,2022
SB21B,C00771477,SB21B.4264,ORG,ANEDOT,,,,,,1340 POYDRAS STREET SUITE 1770,,NEW ORLEANS,LA,70112,,2021-07-01,2600.9,MERCHANT FEES,,,2022
SB21B,C00771477,SB21B.4267,ORG,ANEDOT,,,,,,1340 POYDRAS STREET SUITE 1770,,NEW ORLEANS,LA,70112,,2021-08-12,2001.5,MERCHANT FEES,,,2022
SB21B,C00771477,SB21B.4287,IND,,ALVI,CORA,,,,3484 LAKESHORE DRIVE,,TALLAHASSEE,FL,32312,,2021-07-13,1527.0,REIMBURSEMENT:  SEE MEMO ENTRIES IF REQUIRED,,,2022
SB21B,C00771477,SB21B.4296,ORG,"LEWANDOWSKI STRATEGIC ADVISORS, LLC",,,,,,P.O. BOX 1492,,SALEM,NH,03079,,2021-07-01,1112.54,STRATEGY CONSULTING EXPENSES: TRAVEL: AIR AND GROUND TRANSPORTATION,,,2022
SB21B,C00771477,SB21B.4266,ORG,ANEDOT,,,,,,1340 POYDRAS STREET SUITE 1770,,NEW ORLEANS,LA,70112,,2021-07-22,1000.3,MERCHANT FEES,,,2022
SB21B,C00771477,SB21B.4289,ORG,"DT CLIENT SERVICES, LLC",,,,,,1101 14TH ST NW,,WASHINGTON,DC,20005,,2021-07-28,840.0,LIST RENTAL,,,2022
